OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,724.0,280.0,724.0,280.0,13839.0,14843.0,14843.0,14843.0,14843.0,4353.0
1.0,864.0,190.0,864.0,190.0,9706.0,10760.0,10760.0,10760.0,10760.0,6725.0
2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,22691.0
3.0,2265.0,1408.0,2265.0,1598.0,14817.0,18490.0,18680.0,18490.0,18680.0,15494.0
4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2636.0
5.0,1619.0,1247.0,1737.0,1249.0,12493.0,15359.0,15361.0,15477.0,15479.0,12449.0
6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,10928.0
7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6106.0
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14793.0
9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,12125.0
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,15333.0
11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,8705.0
12.0,642.0,690.0,642.0,802.0,9180.0,10512.0,10624.0,10512.0,10624.0,9904.0
13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4758.0
14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,25073.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,19252.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,35148.0
17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,20644.0
18.0,400.0,406.0,400.0,560.0,17965.0,18771.0,18925.0,18771.0,18925.0,14630.0
19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,19089.0
20.0,740.0,452.0,740.0,943.0,16618.0,17810.0,18301.0,17810.0,18301.0,15502.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,85103.0
22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,12582.0
23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14521.0
24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,32571.0
25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,35908.0
26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,20058.0
27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,21209.0
28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,18129.0
29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3165.0
30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,28298.0
31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17726.0
32.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17374.0
33.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,39577.0
34.0,1270.0,764.0,1664.0,764.0,17581.0,19615.0,19615.0,20009.0,20009.0,10079.0
35.0,720.0,195.0,789.0,87.0,14955.0,15870.0,15762.0,15939.0,15831.0,11063.0
36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,21460.0
37.0,745.0,766.0,745.0,990.0,56787.0,58298.0,58522.0,58298.0,58522.0,48843.0
38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,24094.0
39.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14116.0
40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,50577.0
41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,21153.0
42.0,1526.0,1961.0,1526.0,2349.0,10339.0,13826.0,14214.0,13826.0,14214.0,8002.0
43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4609.0
44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,18459.0
45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2800.0
46.0,1305.0,190.0,1369.0,190.0,4878.0,6373.0,6373.0,6437.0,6437.0,4303.0
47.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,24607.0
48.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,25392.0
49.0,792.0,564.0,792.0,564.0,29699.0,31055.0,31055.0,31055.0,31055.0,10316.0
50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,16534.0
51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,9583.0
52.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,20486.0
53.0,1629.0,230.0,1629.0,230.0,6340.0,8199.0,8199.0,8199.0,8199.0,5152.0
54.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,13722.0
55.0,1172.0,680.0,1359.0,647.0,4304.0,6156.0,6123.0,6343.0,6310.0,5502.0
56.0,297.0,335.0,297.0,871.0,18008.0,18640.0,19176.0,18640.0,19176.0,8447.0
57.0,822.0,190.0,823.0,190.0,14354.0,15366.0,15366.0,15367.0,15367.0,10329.0
58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,38317.0
59.0,642.0,392.0,913.0,392.0,13670.0,14704.0,14704.0,14975.0,14975.0,7379.0
60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,29666.0
61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,27606.0
62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,12439.0
63.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11725.0
64.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6391.0
65.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,16313.0
66.0,618.0,258.0,618.0,260.0,16140.0,17016.0,17018.0,17016.0,17018.0,11792.0
67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11365.0
68.0,3300.0,190.0,3413.0,190.0,16446.0,19936.0,19936.0,20049.0,20049.0,13396.0
69.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,21437.0
70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14248.0
71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,19545.0
72.0,360.0,846.0,360.0,893.0,16617.0,17823.0,17870.0,17823.0,17870.0,9457.0
73.0,809.0,455.0,845.0,457.0,14698.0,15962.0,15964.0,15998.0,16000.0,13134.0
74.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4339.0
75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6823.0
76.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5241.0
77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,20452.0
78.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,20945.0
79.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,26815.0
80.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6937.0
81.0,414.0,437.0,401.0,548.0,27885.0,28736.0,28847.0,28723.0,28834.0,13713.0
82.0,221.0,514.0,322.0,506.0,12872.0,13607.0,13599.0,13708.0,13700.0,9752.0
83.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17121.0
84.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14161.0
85.0,1058.0,1049.0,1058.0,1049.0,2181.0,4288.0,4288.0,4288.0,4288.0,4093.0
86.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,9915.0
87.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,30145.0
88.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11018.0
89.0,1104.0,214.0,1134.0,287.0,7187.0,8505.0,8578.0,8535.0,8608.0,8088.0
90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,19415.0
91.0,1378.0,1103.0,1842.0,1202.0,18085.0,20566.0,20665.0,21030.0,21129.0,13853.0
92.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,8512.0
93.0,148.0,890.0,148.0,610.0,11267.0,12305.0,12025.0,12305.0,12025.0,7950.0
94.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,32674.0
95.0,1342.0,846.0,1356.0,912.0,11525.0,13713.0,13779.0,13727.0,13793.0,18904.0
96.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11915.0
97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,12086.0
98.0,594.0,481.0,594.0,483.0,7604.0,8679.0,8681.0,8679.0,8681.0,8843.0
99.0,647.0,690.0,647.0,802.0,13027.0,14364.0,14476.0,14364.0,14476.0,10482.0
100.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1350.0
101.0,3947.0,321.0,3947.0,321.0,17066.0,21334.0,21334.0,21334.0,21334.0,13898.0
102.0,500.0,1473.0,498.0,2114.0,6240.0,8213.0,8854.0,8211.0,8852.0,6397.0
103.0,1254.0,253.0,1254.0,253.0,18949.0,20456.0,20456.0,20456.0,20456.0,13254.0
104.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17734.0
105.0,324.0,261.0,1012.0,324.0,4677.0,5262.0,5325.0,5950.0,6013.0,4480.0
106.0,172.0,125.0,796.0,1070.0,6763.0,7060.0,8005.0,7684.0,8629.0,4204.0
107.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,9432.0
108.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,16458.0
109.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,31678.0
