OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,569.0,94.0,583.0,96.0,23412.0,24075.0,24077.0,24089.0,24091.0,4873.0
1.0,1231.0,1161.0,1231.0,1166.0,2720.0,5112.0,5117.0,5112.0,5117.0,4698.0
2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,36858.0
3.0,332.0,830.0,815.0,830.0,1145.0,2307.0,2307.0,2790.0,2790.0,2039.0
4.0,363.0,192.0,363.0,651.0,28087.0,28642.0,29101.0,28642.0,29101.0,31391.0
5.0,1055.0,306.0,1055.0,542.0,68830.0,70191.0,70427.0,70191.0,70427.0,50146.0
6.0,282.0,832.0,282.0,1270.0,34325.0,35439.0,35877.0,35439.0,35877.0,37058.0
7.0,442.0,190.0,353.0,190.0,12837.0,13469.0,13469.0,13380.0,13380.0,15989.0
8.0,291.0,209.0,291.0,2562.0,19729.0,20229.0,22582.0,20229.0,22582.0,17277.0
9.0,501.0,648.0,897.0,816.0,12342.0,13491.0,13659.0,13887.0,14055.0,14192.0
10.0,861.0,738.0,1654.0,812.0,19858.0,21457.0,21531.0,22250.0,22324.0,17579.0
11.0,185.0,201.0,211.0,541.0,7178.0,7564.0,7904.0,7590.0,7930.0,7484.0
12.0,1071.0,575.0,1610.0,687.0,24179.0,25825.0,25937.0,26364.0,26476.0,36151.0
13.0,782.0,672.0,757.0,1122.0,62765.0,64219.0,64669.0,64194.0,64644.0,25494.0
14.0,151.0,84.0,225.0,84.0,6143.0,6378.0,6378.0,6452.0,6452.0,5539.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,35977.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14515.0
17.0,430.0,679.0,430.0,679.0,55532.0,56641.0,56641.0,56641.0,56641.0,38870.0
18.0,1470.0,1447.0,1496.0,1533.0,53011.0,55928.0,56014.0,55954.0,56040.0,30178.0
19.0,273.0,347.0,644.0,346.0,5375.0,5995.0,5994.0,6366.0,6365.0,5913.0
20.0,943.0,864.0,920.0,864.0,29177.0,30984.0,30984.0,30961.0,30961.0,28340.0
21.0,1030.0,122.0,1030.0,83.0,26140.0,27292.0,27253.0,27292.0,27253.0,22752.0
22.0,984.0,2019.0,984.0,3471.0,33340.0,36343.0,37795.0,36343.0,37795.0,7446.0
23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,873.0
24.0,280.0,209.0,397.0,208.0,12800.0,13289.0,13288.0,13406.0,13405.0,8799.0
25.0,309.0,329.0,326.0,314.0,3516.0,4154.0,4139.0,4171.0,4156.0,1873.0
26.0,392.0,212.0,387.0,218.0,8342.0,8946.0,8952.0,8941.0,8947.0,9789.0
27.0,862.0,342.0,1587.0,342.0,6374.0,7578.0,7578.0,8303.0,8303.0,7760.0
28.0,554.0,352.0,554.0,424.0,8489.0,9395.0,9467.0,9395.0,9467.0,10647.0
29.0,235.0,321.0,533.0,287.0,34820.0,35376.0,35342.0,35674.0,35640.0,22636.0
30.0,119.0,310.0,119.0,310.0,3830.0,4259.0,4259.0,4259.0,4259.0,5646.0
31.0,251.0,141.0,251.0,235.0,4721.0,5113.0,5207.0,5113.0,5207.0,4664.0
32.0,744.0,397.0,918.0,594.0,16534.0,17675.0,17872.0,17849.0,18046.0,16011.0
33.0,319.0,1479.0,319.0,1487.0,94924.0,96722.0,96730.0,96722.0,96730.0,42760.0
34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,24527.0
35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3274.0
36.0,417.0,480.0,425.0,480.0,11241.0,12138.0,12138.0,12146.0,12146.0,8097.0
37.0,353.0,490.0,1380.0,1071.0,13452.0,14295.0,14876.0,15322.0,15903.0,14102.0
38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,29640.0
39.0,353.0,707.0,410.0,960.0,14231.0,15291.0,15544.0,15348.0,15601.0,14547.0
40.0,126.0,222.0,364.0,222.0,17232.0,17580.0,17580.0,17818.0,17818.0,13066.0
41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,118345.0
42.0,193.0,398.0,278.0,385.0,1274.0,1865.0,1852.0,1950.0,1937.0,1898.0
43.0,530.0,102.0,513.0,583.0,3022.0,3654.0,4135.0,3637.0,4118.0,3493.0
44.0,312.0,405.0,614.0,394.0,21694.0,22411.0,22400.0,22713.0,22702.0,19332.0
45.0,205.0,782.0,726.0,1623.0,32665.0,33652.0,34493.0,34173.0,35014.0,26689.0
46.0,1108.0,1225.0,1268.0,1457.0,13630.0,15963.0,16195.0,16123.0,16355.0,10588.0
47.0,415.0,202.0,415.0,113.0,12991.0,13608.0,13519.0,13608.0,13519.0,14036.0
48.0,583.0,317.0,585.0,924.0,24116.0,25016.0,25623.0,25018.0,25625.0,27489.0
49.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,10695.0
50.0,1710.0,503.0,1709.0,503.0,45119.0,47332.0,47332.0,47331.0,47331.0,46061.0
51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,33964.0
52.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,7365.0
53.0,689.0,1184.0,1146.0,1322.0,5656.0,7529.0,7667.0,7986.0,8124.0,6138.0
54.0,392.0,558.0,387.0,1002.0,3590.0,4540.0,4984.0,4535.0,4979.0,3442.0
55.0,106.0,481.0,104.0,492.0,34591.0,35178.0,35189.0,35176.0,35187.0,46571.0
56.0,1668.0,95.0,1787.0,95.0,44956.0,46719.0,46719.0,46838.0,46838.0,22150.0
57.0,1536.0,549.0,1533.0,641.0,42149.0,44234.0,44326.0,44231.0,44323.0,36773.0
58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5425.0
59.0,918.0,4302.0,1793.0,6166.0,40795.0,46015.0,47879.0,46890.0,48754.0,17245.0
60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,63766.0
61.0,1066.0,1481.0,1066.0,1467.0,21289.0,23836.0,23822.0,23836.0,23822.0,25427.0
62.0,243.0,277.0,582.0,1273.0,1179.0,1699.0,2695.0,2038.0,3034.0,1110.0
63.0,422.0,208.0,420.0,208.0,7521.0,8151.0,8151.0,8149.0,8149.0,8730.0
64.0,1167.0,535.0,1211.0,525.0,18373.0,20075.0,20065.0,20119.0,20109.0,24988.0
65.0,880.0,167.0,870.0,317.0,24152.0,25199.0,25349.0,25189.0,25339.0,26546.0
66.0,1757.0,199.0,1755.0,119.0,41606.0,43562.0,43482.0,43560.0,43480.0,48999.0
67.0,568.0,194.0,568.0,190.0,22833.0,23595.0,23591.0,23595.0,23591.0,17877.0
68.0,304.0,405.0,304.0,394.0,120752.0,121461.0,121450.0,121461.0,121450.0,85446.0
69.0,171.0,509.0,171.0,732.0,7970.0,8650.0,8873.0,8650.0,8873.0,7951.0
70.0,283.0,111.0,504.0,221.0,29595.0,29989.0,30099.0,30210.0,30320.0,33778.0
71.0,187.0,675.0,262.0,1482.0,31470.0,32332.0,33139.0,32407.0,33214.0,34667.0
72.0,853.0,336.0,853.0,411.0,3273.0,4462.0,4537.0,4462.0,4537.0,4246.0
73.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,40561.0
74.0,580.0,297.0,977.0,299.0,1191.0,2068.0,2070.0,2465.0,2467.0,1690.0
75.0,161.0,2185.0,500.0,2212.0,59780.0,62126.0,62153.0,62465.0,62492.0,55937.0
76.0,415.0,200.0,1051.0,719.0,24535.0,25150.0,25669.0,25786.0,26305.0,22478.0
77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,26467.0
78.0,1062.0,155.0,1063.0,158.0,4750.0,5967.0,5970.0,5968.0,5971.0,7315.0
79.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,18263.0
80.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,105195.0
81.0,156.0,165.0,149.0,254.0,11746.0,12067.0,12156.0,12060.0,12149.0,14053.0
82.0,1463.0,1151.0,1484.0,1353.0,19435.0,22049.0,22251.0,22070.0,22272.0,29926.0
83.0,336.0,202.0,336.0,202.0,2812.0,3350.0,3350.0,3350.0,3350.0,2785.0
84.0,201.0,452.0,128.0,452.0,29927.0,30580.0,30580.0,30507.0,30507.0,39928.0
85.0,135.0,199.0,136.0,1170.0,13615.0,13949.0,14920.0,13950.0,14921.0,13471.0
86.0,614.0,309.0,614.0,466.0,3878.0,4801.0,4958.0,4801.0,4958.0,4809.0
87.0,272.0,3446.0,271.0,3331.0,59982.0,63700.0,63585.0,63699.0,63584.0,54033.0
88.0,154.0,415.0,135.0,843.0,33461.0,34030.0,34458.0,34011.0,34439.0,31122.0
