OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,10678.0
1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,16040.0
2.0,492.0,51.0,1322.0,12.0,1855.0,2398.0,2359.0,3228.0,3189.0,3018.0
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,27852.0
4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,7247.0
5.0,343.0,1481.0,1018.0,4911.0,27394.0,29218.0,32648.0,29893.0,33323.0,23843.0
6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,22125.0
7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,20639.0
8.0,699.0,489.0,1200.0,489.0,2518.0,3706.0,3706.0,4207.0,4207.0,3440.0
9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17165.0
10.0,507.0,546.0,536.0,546.0,14695.0,15748.0,15748.0,15777.0,15777.0,17971.0
11.0,1847.0,801.0,3970.0,801.0,21094.0,23742.0,23742.0,25865.0,25865.0,16742.0
12.0,666.0,978.0,666.0,1068.0,4235.0,5879.0,5969.0,5879.0,5969.0,6536.0
13.0,692.0,474.0,692.0,484.0,4312.0,5478.0,5488.0,5478.0,5488.0,5164.0
14.0,1584.0,555.0,1650.0,555.0,28249.0,30388.0,30388.0,30454.0,30454.0,10960.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,44144.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,13133.0
17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,13206.0
18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14224.0
19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,12901.0
20.0,1720.0,131.0,1720.0,135.0,16203.0,18054.0,18058.0,18054.0,18058.0,17802.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,47029.0
22.0,1018.0,1152.0,1018.0,1094.0,23455.0,25625.0,25567.0,25625.0,25567.0,24609.0
23.0,293.0,1253.0,293.0,4129.0,24235.0,25781.0,28657.0,25781.0,28657.0,14809.0
24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6757.0
25.0,451.0,230.0,456.0,230.0,68931.0,69612.0,69612.0,69617.0,69617.0,42709.0
26.0,1704.0,873.0,1914.0,835.0,23947.0,26524.0,26486.0,26734.0,26696.0,29736.0
27.0,2081.0,1148.0,2081.0,1376.0,8868.0,12097.0,12325.0,12097.0,12325.0,10502.0
28.0,1658.0,639.0,2632.0,642.0,64397.0,66694.0,66697.0,67668.0,67671.0,21870.0
29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17298.0
30.0,1322.0,1481.0,1322.0,4911.0,37089.0,39892.0,43322.0,39892.0,43322.0,34403.0
31.0,259.0,239.0,259.0,239.0,16089.0,16587.0,16587.0,16587.0,16587.0,18799.0
32.0,259.0,48.0,294.0,48.0,6270.0,6577.0,6577.0,6612.0,6612.0,6239.0
33.0,2589.0,835.0,2589.0,863.0,10305.0,13729.0,13757.0,13729.0,13757.0,10143.0
34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11985.0
35.0,385.0,1481.0,423.0,4911.0,32288.0,34154.0,37584.0,34192.0,37622.0,30858.0
36.0,1983.0,600.0,1983.0,1018.0,11450.0,14033.0,14451.0,14033.0,14451.0,10442.0
37.0,200.0,381.0,21.0,381.0,6480.0,7061.0,7061.0,6882.0,6882.0,5100.0
38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,38695.0
39.0,1302.0,1020.0,1830.0,1059.0,13387.0,15709.0,15748.0,16237.0,16276.0,15396.0
40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1847.0
41.0,2353.0,1165.0,2883.0,1236.0,22560.0,26078.0,26149.0,26608.0,26679.0,12612.0
42.0,497.0,453.0,494.0,472.0,1628.0,2578.0,2597.0,2575.0,2594.0,2573.0
43.0,1787.0,1341.0,1787.0,1342.0,14332.0,17460.0,17461.0,17460.0,17461.0,14090.0
44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,23196.0
45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,9659.0
46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,26209.0
47.0,1734.0,441.0,1867.0,441.0,30067.0,32242.0,32242.0,32375.0,32375.0,18480.0
48.0,2451.0,425.0,2953.0,425.0,3667.0,6543.0,6543.0,7045.0,7045.0,5647.0
49.0,1030.0,342.0,1095.0,365.0,9670.0,11042.0,11065.0,11107.0,11130.0,9008.0
50.0,1330.0,383.0,1330.0,383.0,87852.0,89565.0,89565.0,89565.0,89565.0,35450.0
51.0,2683.0,1059.0,2945.0,1378.0,8843.0,12585.0,12904.0,12847.0,13166.0,5599.0
52.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,23265.0
53.0,832.0,411.0,832.0,447.0,78857.0,80100.0,80136.0,80100.0,80136.0,22536.0
54.0,1188.0,335.0,1231.0,335.0,6189.0,7712.0,7712.0,7755.0,7755.0,10765.0
55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,36798.0
56.0,423.0,98.0,802.0,98.0,2158.0,2679.0,2679.0,3058.0,3058.0,2685.0
57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,13655.0
58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,11196.0
59.0,896.0,842.0,910.0,842.0,8300.0,10038.0,10038.0,10052.0,10052.0,6528.0
60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,22171.0
61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,14470.0
62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,22154.0
63.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,18358.0
64.0,987.0,225.0,1011.0,240.0,32211.0,33423.0,33438.0,33447.0,33462.0,24544.0
65.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,664.0
66.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,20575.0
67.0,349.0,748.0,457.0,748.0,14687.0,15784.0,15784.0,15892.0,15892.0,12696.0
68.0,927.0,713.0,1183.0,713.0,6401.0,8041.0,8041.0,8297.0,8297.0,6115.0
69.0,189.0,1186.0,189.0,1723.0,1525.0,2900.0,3437.0,2900.0,3437.0,3120.0
70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,187.0
71.0,1514.0,1500.0,1579.0,1500.0,6017.0,9031.0,9031.0,9096.0,9096.0,7821.0
72.0,731.0,1917.0,878.0,1917.0,27365.0,30013.0,30013.0,30160.0,30160.0,16353.0
73.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,6718.0
74.0,567.0,492.0,1021.0,1198.0,30037.0,31096.0,31802.0,31550.0,32256.0,28917.0
75.0,200.0,585.0,200.0,584.0,8446.0,9231.0,9230.0,9231.0,9230.0,8548.0
76.0,589.0,1549.0,589.0,1549.0,70571.0,72709.0,72709.0,72709.0,72709.0,25207.0
77.0,626.0,1105.0,626.0,1117.0,24679.0,26410.0,26422.0,26410.0,26422.0,19935.0
