OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,48.0,412.0,48.0,532.0,4610.0,5070.0,5190.0,5070.0,5190.0,4796.0
1.0,602.0,144.0,1173.0,286.0,3737.0,4483.0,4625.0,5054.0,5196.0,4476.0
2.0,126.0,101.0,126.0,79.0,7914.0,8141.0,8119.0,8141.0,8119.0,8790.0
3.0,432.0,203.0,432.0,200.0,10678.0,11313.0,11310.0,11313.0,11310.0,11336.0
4.0,208.0,411.0,310.0,533.0,6970.0,7589.0,7711.0,7691.0,7813.0,6487.0
5.0,2128.0,287.0,2859.0,402.0,3208.0,5623.0,5738.0,6354.0,6469.0,5390.0
6.0,181.0,220.0,893.0,199.0,4472.0,4873.0,4852.0,5585.0,5564.0,5284.0
7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,17761.0
8.0,388.0,380.0,938.0,304.0,3630.0,4398.0,4322.0,4948.0,4872.0,4233.0
9.0,612.0,479.0,701.0,908.0,10462.0,11553.0,11982.0,11642.0,12071.0,12238.0
10.0,280.0,706.0,280.0,706.0,20734.0,21720.0,21720.0,21720.0,21720.0,20971.0
11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1326.0
12.0,1376.0,312.0,1376.0,1657.0,24384.0,26072.0,27417.0,26072.0,27417.0,27578.0
13.0,1096.0,185.0,2240.0,185.0,22784.0,24065.0,24065.0,25209.0,25209.0,23682.0
14.0,304.0,342.0,1292.0,1690.0,23840.0,24486.0,25834.0,25474.0,26822.0,25461.0
15.0,376.0,597.0,862.0,605.0,8626.0,9599.0,9607.0,10085.0,10093.0,9718.0
16.0,452.0,260.0,452.0,260.0,33122.0,33834.0,33834.0,33834.0,33834.0,29746.0
17.0,536.0,1321.0,1379.0,1369.0,4912.0,6769.0,6817.0,7612.0,7660.0,8059.0
18.0,118.0,510.0,118.0,1253.0,8698.0,9326.0,10069.0,9326.0,10069.0,8231.0
19.0,126.0,106.0,126.0,572.0,13370.0,13602.0,14068.0,13602.0,14068.0,17097.0
20.0,233.0,753.0,233.0,753.0,14698.0,15684.0,15684.0,15684.0,15684.0,13416.0
21.0,119.0,408.0,119.0,1997.0,37563.0,38090.0,39679.0,38090.0,39679.0,32018.0
22.0,335.0,96.0,335.0,1842.0,34363.0,34794.0,36540.0,34794.0,36540.0,34604.0
23.0,1728.0,396.0,2519.0,396.0,7165.0,9289.0,9289.0,10080.0,10080.0,7094.0
24.0,361.0,1357.0,361.0,1518.0,8270.0,9988.0,10149.0,9988.0,10149.0,11718.0
25.0,112.0,693.0,112.0,707.0,13724.0,14529.0,14543.0,14529.0,14543.0,12028.0
26.0,340.0,933.0,996.0,933.0,35719.0,36992.0,36992.0,37648.0,37648.0,27455.0
27.0,636.0,1081.0,636.0,1081.0,6531.0,8248.0,8248.0,8248.0,8248.0,6553.0
28.0,121.0,221.0,121.0,3179.0,13107.0,13449.0,16407.0,13449.0,16407.0,13489.0
29.0,679.0,222.0,679.0,1222.0,5982.0,6883.0,7883.0,6883.0,7883.0,6645.0
30.0,1256.0,2980.0,1256.0,2666.0,20852.0,25088.0,24774.0,25088.0,24774.0,24845.0
31.0,410.0,437.0,477.0,497.0,3811.0,4658.0,4718.0,4725.0,4785.0,3736.0
32.0,543.0,350.0,545.0,350.0,29061.0,29954.0,29954.0,29956.0,29956.0,23855.0
33.0,1128.0,432.0,2036.0,2544.0,22415.0,23975.0,26087.0,24883.0,26995.0,24772.0
34.0,256.0,179.0,256.0,277.0,27885.0,28320.0,28418.0,28320.0,28418.0,24277.0
35.0,445.0,1548.0,445.0,1548.0,6445.0,8438.0,8438.0,8438.0,8438.0,7588.0
36.0,444.0,96.0,444.0,1842.0,16264.0,16804.0,18550.0,16804.0,18550.0,18463.0
37.0,612.0,353.0,701.0,869.0,10989.0,11954.0,12470.0,12043.0,12559.0,12729.0
38.0,506.0,270.0,506.0,401.0,28688.0,29464.0,29595.0,29464.0,29595.0,27887.0
39.0,818.0,50.0,818.0,321.0,1535.0,2403.0,2674.0,2403.0,2674.0,2083.0
40.0,584.0,396.0,899.0,1462.0,9335.0,10315.0,11381.0,10630.0,11696.0,10267.0
41.0,394.0,352.0,394.0,1007.0,6863.0,7609.0,8264.0,7609.0,8264.0,7624.0
42.0,88.0,687.0,484.0,2245.0,42563.0,43338.0,44896.0,43734.0,45292.0,42519.0
43.0,230.0,717.0,230.0,760.0,25036.0,25983.0,26026.0,25983.0,26026.0,23228.0
44.0,717.0,670.0,760.0,686.0,30372.0,31759.0,31775.0,31802.0,31818.0,28462.0
45.0,54.0,727.0,54.0,730.0,15618.0,16399.0,16402.0,16399.0,16402.0,13321.0
46.0,1259.0,37.0,749.0,33.0,14996.0,16292.0,16288.0,15782.0,15778.0,14575.0
47.0,299.0,192.0,299.0,168.0,10852.0,11343.0,11319.0,11343.0,11319.0,7778.0
48.0,546.0,1001.0,546.0,3729.0,4921.0,6468.0,9196.0,6468.0,9196.0,8383.0
49.0,186.0,651.0,186.0,972.0,23931.0,24768.0,25089.0,24768.0,25089.0,22140.0
50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1132.0
51.0,81.0,203.0,890.0,200.0,2445.0,2729.0,2726.0,3538.0,3535.0,2552.0
52.0,324.0,1171.0,324.0,3853.0,10203.0,11698.0,14380.0,11698.0,14380.0,11274.0
53.0,1678.0,241.0,1702.0,252.0,22725.0,24644.0,24655.0,24668.0,24679.0,24326.0
54.0,453.0,312.0,779.0,1657.0,26224.0,26989.0,28334.0,27315.0,28660.0,25223.0
55.0,394.0,293.0,394.0,801.0,18391.0,19078.0,19586.0,19078.0,19586.0,16084.0
56.0,450.0,1060.0,551.0,1060.0,31735.0,33245.0,33245.0,33346.0,33346.0,25444.0
57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,24888.0
58.0,156.0,309.0,156.0,379.0,9847.0,10312.0,10382.0,10312.0,10382.0,8199.0
59.0,293.0,651.0,293.0,972.0,26359.0,27303.0,27624.0,27303.0,27624.0,25119.0
60.0,2085.0,728.0,2085.0,1946.0,2068.0,4881.0,6099.0,4881.0,6099.0,4563.0
61.0,138.0,491.0,138.0,849.0,7130.0,7759.0,8117.0,7759.0,8117.0,7106.0
62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1402.0
63.0,968.0,87.0,1076.0,87.0,19927.0,20982.0,20982.0,21090.0,21090.0,19521.0
64.0,502.0,447.0,502.0,934.0,21864.0,22813.0,23300.0,22813.0,23300.0,22800.0
65.0,756.0,222.0,756.0,1222.0,7632.0,8610.0,9610.0,8610.0,9610.0,8292.0
66.0,1033.0,262.0,1034.0,504.0,5955.0,7250.0,7492.0,7251.0,7493.0,5308.0
67.0,436.0,534.0,436.0,535.0,33084.0,34054.0,34055.0,34054.0,34055.0,28716.0
68.0,1201.0,606.0,1219.0,1882.0,12401.0,14208.0,15484.0,14226.0,15502.0,12183.0
69.0,727.0,832.0,752.0,1450.0,7143.0,8702.0,9320.0,8727.0,9345.0,3715.0
70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,33561.0
71.0,1081.0,1123.0,1235.0,1124.0,18146.0,20350.0,20351.0,20504.0,20505.0,19896.0
72.0,354.0,207.0,587.0,207.0,1869.0,2430.0,2430.0,2663.0,2663.0,2092.0
73.0,277.0,282.0,277.0,282.0,32882.0,33441.0,33441.0,33441.0,33441.0,31418.0
74.0,403.0,87.0,403.0,87.0,8436.0,8926.0,8926.0,8926.0,8926.0,7993.0
75.0,444.0,688.0,444.0,665.0,2556.0,3688.0,3665.0,3688.0,3665.0,3592.0
76.0,2011.0,294.0,2011.0,294.0,15814.0,18119.0,18119.0,18119.0,18119.0,10783.0
