OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,1232.0,295.0,228.0,99.0,629.0,2156.0,1960.0,1152.0,956.0,472.0
1.0,340.0,447.0,89.0,71.0,1203.0,1990.0,1614.0,1739.0,1363.0,601.0
2.0,544.0,792.0,196.0,240.0,886.0,2222.0,1670.0,1874.0,1322.0,793.0
3.0,357.0,259.0,118.0,76.0,2045.0,2661.0,2478.0,2422.0,2239.0,937.0
4.0,1787.0,688.0,352.0,147.0,610.0,3085.0,2544.0,1650.0,1109.0,461.0
5.0,1382.0,1515.0,222.0,194.0,5978.0,8875.0,7554.0,7715.0,6394.0,1332.0
6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,951.0
7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,607.0
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,970.0
9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,487.0
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,648.0
11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,968.0
12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1228.0
13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,637.0
14.0,948.0,254.0,234.0,62.0,2092.0,3294.0,3102.0,2580.0,2388.0,530.0
15.0,414.0,46.0,163.0,38.0,2894.0,3354.0,3346.0,3103.0,3095.0,882.0
16.0,861.0,480.0,151.0,220.0,1035.0,2376.0,2116.0,1666.0,1406.0,668.0
17.0,133.0,1062.0,40.0,179.0,4897.0,6092.0,5209.0,5999.0,5116.0,1272.0
18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,909.0
19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1312.0
20.0,1118.0,688.0,215.0,147.0,5024.0,6830.0,6289.0,5927.0,5386.0,961.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1443.0
22.0,1226.0,188.0,216.0,111.0,3174.0,4588.0,4511.0,3578.0,3501.0,1651.0
23.0,1848.0,1450.0,329.0,179.0,5820.0,9118.0,7847.0,7599.0,6328.0,963.0
24.0,422.0,522.0,107.0,237.0,5143.0,6087.0,5802.0,5772.0,5487.0,1015.0
25.0,299.0,303.0,99.0,51.0,1874.0,2476.0,2224.0,2276.0,2024.0,604.0
26.0,769.0,240.0,191.0,95.0,1788.0,2797.0,2652.0,2219.0,2074.0,801.0
27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,788.0
28.0,1212.0,1141.0,178.0,209.0,5175.0,7528.0,6596.0,6494.0,5562.0,847.0
29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,827.0
30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,577.0
31.0,278.0,407.0,165.0,212.0,2034.0,2719.0,2524.0,2606.0,2411.0,692.0
32.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,704.0
33.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1143.0
34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,828.0
