OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,590.0
1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1420.0
2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,592.0
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,606.0
4.0,555.0,903.0,177.0,384.0,7816.0,9274.0,8755.0,8896.0,8377.0,1744.0
5.0,113.0,1559.0,24.0,258.0,1011.0,2683.0,1382.0,2594.0,1293.0,528.0
6.0,527.0,275.0,73.0,98.0,444.0,1246.0,1069.0,792.0,615.0,249.0
7.0,866.0,1361.0,139.0,299.0,1116.0,3343.0,2281.0,2616.0,1554.0,676.0
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,310.0
9.0,172.0,974.0,61.0,188.0,1538.0,2684.0,1898.0,2573.0,1787.0,705.0
10.0,877.0,102.0,231.0,185.0,9170.0,10149.0,10232.0,9503.0,9586.0,1442.0
11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,329.0
12.0,69.0,660.0,44.0,392.0,5841.0,6570.0,6302.0,6545.0,6277.0,1622.0
13.0,139.0,229.0,64.0,40.0,2596.0,2964.0,2775.0,2889.0,2700.0,713.0
14.0,1177.0,1098.0,175.0,287.0,8366.0,10641.0,9830.0,9639.0,8828.0,1547.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,857.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,620.0
17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,525.0
18.0,609.0,182.0,254.0,44.0,6991.0,7782.0,7644.0,7427.0,7289.0,1589.0
19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1181.0
20.0,861.0,587.0,132.0,130.0,1402.0,2850.0,2393.0,2121.0,1664.0,669.0
21.0,604.0,134.0,90.0,32.0,2917.0,3655.0,3553.0,3141.0,3039.0,1093.0
22.0,124.0,317.0,37.0,89.0,1072.0,1513.0,1285.0,1426.0,1198.0,449.0
23.0,1269.0,313.0,174.0,90.0,4720.0,6302.0,6079.0,5207.0,4984.0,1447.0
24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,190.0
25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,419.0
26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1867.0
27.0,48.0,58.0,13.0,6.0,1592.0,1698.0,1646.0,1663.0,1611.0,237.0
28.0,75.0,224.0,2.0,136.0,2223.0,2522.0,2434.0,2449.0,2361.0,442.0
29.0,771.0,169.0,144.0,46.0,2095.0,3035.0,2912.0,2408.0,2285.0,352.0
30.0,252.0,72.0,60.0,25.0,1349.0,1673.0,1626.0,1481.0,1434.0,591.0
31.0,63.0,90.0,14.0,8.0,2992.0,3145.0,3063.0,3096.0,3014.0,607.0
32.0,1569.0,257.0,216.0,131.0,3061.0,4887.0,4761.0,3534.0,3408.0,1642.0
33.0,159.0,54.0,106.0,5.0,5664.0,5877.0,5828.0,5824.0,5775.0,1605.0
34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1646.0
35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1055.0
36.0,198.0,425.0,51.0,97.0,3179.0,3802.0,3474.0,3655.0,3327.0,934.0
37.0,666.0,709.0,100.0,368.0,1653.0,3028.0,2687.0,2462.0,2121.0,623.0
38.0,48.0,639.0,23.0,145.0,439.0,1126.0,632.0,1101.0,607.0,324.0
39.0,338.0,625.0,73.0,225.0,2362.0,3325.0,2925.0,3060.0,2660.0,711.0
40.0,256.0,464.0,78.0,87.0,4445.0,5165.0,4788.0,4987.0,4610.0,1893.0
41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,537.0
42.0,471.0,168.0,166.0,62.0,1454.0,2093.0,1987.0,1788.0,1682.0,638.0
43.0,438.0,287.0,162.0,134.0,1.0,726.0,573.0,450.0,297.0,292.0
44.0,256.0,333.0,123.0,108.0,2109.0,2698.0,2473.0,2565.0,2340.0,595.0
45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,829.0
46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,309.0
47.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1067.0
48.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1287.0
49.0,548.0,277.0,131.0,140.0,1621.0,2446.0,2309.0,2029.0,1892.0,610.0
50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1059.0
51.0,71.0,684.0,56.0,155.0,1406.0,2161.0,1632.0,2146.0,1617.0,576.0
52.0,467.0,2203.0,112.0,178.0,14532.0,17202.0,15177.0,16847.0,14822.0,1630.0
53.0,626.0,102.0,154.0,185.0,7964.0,8692.0,8775.0,8220.0,8303.0,1760.0
54.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,407.0
55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1134.0
56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,49.0
57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,906.0
58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,656.0
59.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2036.0
60.0,775.0,84.0,254.0,33.0,1269.0,2128.0,2077.0,1607.0,1556.0,508.0
61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,650.0
62.0,459.0,173.0,212.0,35.0,2747.0,3379.0,3241.0,3132.0,2994.0,1165.0
63.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1513.0
64.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,376.0
65.0,164.0,520.0,109.0,248.0,2478.0,3162.0,2890.0,3107.0,2835.0,1127.0
66.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,313.0
67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1390.0
68.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,514.0
69.0,568.0,77.0,176.0,39.0,279.0,924.0,886.0,532.0,494.0,380.0
70.0,562.0,460.0,122.0,218.0,6602.0,7624.0,7382.0,7184.0,6942.0,1542.0
71.0,567.0,60.0,78.0,9.0,902.0,1529.0,1478.0,1040.0,989.0,828.0
72.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,261.0
73.0,623.0,464.0,200.0,59.0,2804.0,3891.0,3486.0,3468.0,3063.0,749.0
74.0,98.0,132.0,57.0,34.0,928.0,1158.0,1060.0,1117.0,1019.0,525.0
75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,885.0
76.0,628.0,590.0,64.0,75.0,7272.0,8490.0,7975.0,7926.0,7411.0,783.0
77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1072.0
78.0,162.0,296.0,148.0,103.0,1414.0,1872.0,1679.0,1858.0,1665.0,701.0
79.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1224.0
80.0,155.0,595.0,49.0,158.0,867.0,1617.0,1180.0,1511.0,1074.0,711.0
81.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,519.0
82.0,988.0,155.0,278.0,213.0,1056.0,2199.0,2257.0,1489.0,1547.0,578.0
83.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,164.0
84.0,1178.0,842.0,250.0,203.0,1423.0,3443.0,2804.0,2515.0,1876.0,911.0
85.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,373.0
86.0,550.0,864.0,110.0,294.0,10068.0,11482.0,10912.0,11042.0,10472.0,2018.0
87.0,622.0,386.0,167.0,94.0,931.0,1939.0,1647.0,1484.0,1192.0,573.0
88.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1229.0
89.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1570.0
90.0,1398.0,406.0,283.0,153.0,5341.0,7145.0,6892.0,6030.0,5777.0,1925.0
91.0,985.0,578.0,212.0,164.0,854.0,2417.0,2003.0,1644.0,1230.0,643.0
92.0,101.0,552.0,10.0,107.0,1606.0,2259.0,1814.0,2168.0,1723.0,426.0
93.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1568.0
94.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,156.0
95.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,300.0
96.0,589.0,175.0,201.0,30.0,5229.0,5993.0,5848.0,5605.0,5460.0,1998.0
97.0,1130.0,145.0,252.0,71.0,3962.0,5237.0,5163.0,4359.0,4285.0,1067.0
98.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,755.0
99.0,362.0,346.0,101.0,84.0,3479.0,4187.0,3925.0,3926.0,3664.0,1740.0
100.0,1065.0,393.0,252.0,116.0,1757.0,3215.0,2938.0,2402.0,2125.0,804.0
101.0,67.0,161.0,35.0,236.0,1675.0,1903.0,1978.0,1871.0,1946.0,521.0
102.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,326.0
103.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2817.0
104.0,177.0,375.0,111.0,120.0,2427.0,2979.0,2724.0,2913.0,2658.0,962.0
105.0,1980.0,327.0,253.0,39.0,3323.0,5630.0,5342.0,3903.0,3615.0,1104.0
106.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,86.0
107.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1154.0
108.0,233.0,250.0,84.0,154.0,426.0,909.0,813.0,760.0,664.0,343.0
109.0,482.0,623.0,131.0,147.0,168.0,1273.0,797.0,922.0,446.0,311.0
110.0,259.0,217.0,146.0,244.0,915.0,1391.0,1418.0,1278.0,1305.0,408.0
111.0,183.0,201.0,54.0,75.0,2648.0,3032.0,2906.0,2903.0,2777.0,841.0
112.0,861.0,463.0,260.0,105.0,1682.0,3006.0,2648.0,2405.0,2047.0,564.0
113.0,786.0,423.0,127.0,98.0,2165.0,3374.0,3049.0,2715.0,2390.0,1158.0
114.0,322.0,552.0,79.0,107.0,849.0,1723.0,1278.0,1480.0,1035.0,386.0
115.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,392.0
116.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1239.0
117.0,439.0,422.0,164.0,106.0,2701.0,3562.0,3246.0,3287.0,2971.0,1315.0
118.0,1373.0,499.0,229.0,80.0,2049.0,3921.0,3502.0,2777.0,2358.0,543.0
119.0,295.0,74.0,89.0,44.0,479.0,848.0,818.0,642.0,612.0,325.0
120.0,166.0,595.0,61.0,158.0,866.0,1627.0,1190.0,1522.0,1085.0,722.0
121.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,363.0
122.0,505.0,33.0,94.0,6.0,2363.0,2901.0,2874.0,2490.0,2463.0,731.0
123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,297.0
124.0,801.0,122.0,153.0,34.0,852.0,1775.0,1687.0,1127.0,1039.0,326.0
125.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1650.0
126.0,177.0,105.0,63.0,221.0,9697.0,9979.0,10095.0,9865.0,9981.0,1115.0
127.0,449.0,140.0,100.0,55.0,3984.0,4573.0,4488.0,4224.0,4139.0,1420.0
128.0,171.0,587.0,46.0,75.0,2641.0,3399.0,2887.0,3274.0,2762.0,522.0
129.0,295.0,64.0,95.0,3.0,870.0,1229.0,1168.0,1029.0,968.0,511.0
130.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,489.0
131.0,564.0,59.0,152.0,6.0,1310.0,1933.0,1880.0,1521.0,1468.0,544.0
132.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,919.0
133.0,1339.0,536.0,140.0,187.0,658.0,2533.0,2184.0,1334.0,985.0,468.0
134.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,888.0
135.0,105.0,664.0,19.0,196.0,462.0,1231.0,763.0,1145.0,677.0,462.0
136.0,436.0,1894.0,110.0,205.0,784.0,3114.0,1425.0,2788.0,1099.0,452.0
137.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1139.0
138.0,2034.0,352.0,327.0,72.0,7733.0,10119.0,9839.0,8412.0,8132.0,1524.0
139.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,305.0
140.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,350.0
141.0,427.0,60.0,108.0,12.0,7994.0,8481.0,8433.0,8162.0,8114.0,1439.0
142.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,281.0
143.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1219.0
144.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,90.0
145.0,260.0,532.0,85.0,133.0,886.0,1678.0,1279.0,1503.0,1104.0,556.0
146.0,930.0,764.0,217.0,113.0,254.0,1948.0,1297.0,1235.0,584.0,387.0
147.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,694.0
148.0,1608.0,310.0,188.0,98.0,2125.0,4043.0,3831.0,2623.0,2411.0,512.0
149.0,672.0,364.0,140.0,104.0,1178.0,2214.0,1954.0,1682.0,1422.0,492.0
150.0,325.0,183.0,246.0,91.0,3008.0,3516.0,3424.0,3437.0,3345.0,865.0
151.0,306.0,1276.0,85.0,207.0,4487.0,6069.0,5000.0,5848.0,4779.0,1505.0
152.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,385.0
153.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,941.0
154.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,643.0
155.0,417.0,587.0,158.0,130.0,572.0,1576.0,1119.0,1317.0,860.0,505.0
156.0,237.0,62.0,94.0,85.0,105.0,404.0,427.0,261.0,284.0,257.0
157.0,814.0,64.0,93.0,3.0,2741.0,3619.0,3558.0,2898.0,2837.0,967.0
158.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1538.0
159.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,643.0
160.0,580.0,309.0,153.0,107.0,902.0,1791.0,1589.0,1364.0,1162.0,566.0
161.0,629.0,1085.0,96.0,179.0,724.0,2438.0,1532.0,1905.0,999.0,604.0
162.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,433.0
163.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,729.0
164.0,233.0,347.0,44.0,92.0,6641.0,7221.0,6966.0,7032.0,6777.0,1311.0
165.0,392.0,317.0,72.0,279.0,2765.0,3474.0,3436.0,3154.0,3116.0,1171.0
166.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,330.0
167.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1824.0
168.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,238.0
