OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,320.0,509.0,99.0,83.0,3753.0,4582.0,4156.0,4361.0,3935.0,1164.0
1.0,767.0,198.0,111.0,144.0,2223.0,3188.0,3134.0,2532.0,2478.0,947.0
2.0,841.0,1400.0,159.0,300.0,3640.0,5881.0,4781.0,5199.0,4099.0,1084.0
3.0,219.0,286.0,57.0,118.0,1448.0,1953.0,1785.0,1791.0,1623.0,600.0
4.0,1512.0,1677.0,182.0,302.0,9964.0,13153.0,11778.0,11823.0,10448.0,1212.0
5.0,441.0,98.0,57.0,149.0,6005.0,6544.0,6595.0,6160.0,6211.0,992.0
6.0,202.0,35.0,78.0,107.0,768.0,1005.0,1077.0,881.0,953.0,528.0
7.0,191.0,1016.0,55.0,172.0,2263.0,3470.0,2626.0,3334.0,2490.0,604.0
8.0,2029.0,159.0,273.0,65.0,11427.0,13615.0,13521.0,11859.0,11765.0,1481.0
9.0,359.0,464.0,68.0,67.0,675.0,1498.0,1101.0,1207.0,810.0,326.0
10.0,300.0,156.0,138.0,66.0,2321.0,2777.0,2687.0,2615.0,2525.0,930.0
11.0,479.0,431.0,212.0,59.0,2504.0,3414.0,3042.0,3147.0,2775.0,577.0
12.0,104.0,205.0,44.0,74.0,1667.0,1976.0,1845.0,1916.0,1785.0,857.0
13.0,1389.0,169.0,253.0,98.0,9685.0,11243.0,11172.0,10107.0,10036.0,764.0
14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.0
15.0,414.0,194.0,94.0,69.0,2918.0,3526.0,3401.0,3206.0,3081.0,826.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1446.0
17.0,274.0,81.0,101.0,11.0,997.0,1352.0,1282.0,1179.0,1109.0,316.0
18.0,125.0,256.0,53.0,62.0,3448.0,3829.0,3635.0,3757.0,3563.0,1226.0
19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,817.0
20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1664.0
21.0,168.0,531.0,52.0,141.0,820.0,1519.0,1129.0,1403.0,1013.0,471.0
22.0,500.0,145.0,119.0,44.0,2769.0,3414.0,3313.0,3033.0,2932.0,707.0
23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,150.0
24.0,470.0,956.0,84.0,115.0,1134.0,2560.0,1719.0,2174.0,1333.0,725.0
25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,458.0
26.0,806.0,291.0,175.0,53.0,421.0,1518.0,1280.0,887.0,649.0,421.0
27.0,1071.0,225.0,153.0,138.0,1975.0,3271.0,3184.0,2353.0,2266.0,802.0
28.0,760.0,469.0,140.0,90.0,87.0,1316.0,937.0,696.0,317.0,288.0
29.0,202.0,172.0,78.0,212.0,2913.0,3287.0,3327.0,3163.0,3203.0,1055.0
30.0,166.0,162.0,56.0,54.0,3829.0,4157.0,4049.0,4047.0,3939.0,1521.0
31.0,395.0,198.0,88.0,51.0,4238.0,4831.0,4684.0,4524.0,4377.0,865.0
32.0,631.0,1003.0,113.0,169.0,5065.0,6699.0,5865.0,6181.0,5347.0,745.0
33.0,106.0,65.0,21.0,39.0,3595.0,3766.0,3740.0,3681.0,3655.0,1112.0
34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1243.0
35.0,318.0,279.0,103.0,70.0,582.0,1179.0,970.0,964.0,755.0,454.0
36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,174.0
37.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,332.0
38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1366.0
39.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1802.0
40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1069.0
41.0,150.0,316.0,45.0,130.0,1003.0,1469.0,1283.0,1364.0,1178.0,638.0
42.0,739.0,159.0,128.0,52.0,5799.0,6697.0,6590.0,6086.0,5979.0,1607.0
43.0,441.0,681.0,57.0,144.0,6003.0,7125.0,6588.0,6741.0,6204.0,1055.0
44.0,1364.0,181.0,674.0,164.0,2352.0,3897.0,3880.0,3207.0,3190.0,1148.0
45.0,871.0,175.0,190.0,203.0,966.0,2012.0,2040.0,1331.0,1359.0,837.0
46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,292.0
47.0,1017.0,344.0,179.0,101.0,5038.0,6399.0,6156.0,5561.0,5318.0,1396.0
48.0,242.0,309.0,111.0,45.0,1697.0,2248.0,1984.0,2117.0,1853.0,668.0
49.0,111.0,532.0,35.0,141.0,2142.0,2785.0,2394.0,2709.0,2318.0,865.0
50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,630.0
51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,848.0
52.0,1560.0,123.0,340.0,28.0,1183.0,2866.0,2771.0,1646.0,1551.0,1060.0
53.0,1137.0,249.0,212.0,91.0,2036.0,3422.0,3264.0,2497.0,2339.0,930.0
54.0,221.0,509.0,29.0,105.0,2925.0,3655.0,3251.0,3463.0,3059.0,1154.0
55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1027.0
56.0,369.0,334.0,49.0,80.0,5059.0,5762.0,5508.0,5442.0,5188.0,1179.0
57.0,241.0,161.0,82.0,79.0,4839.0,5241.0,5159.0,5082.0,5000.0,1321.0
58.0,758.0,82.0,136.0,8.0,823.0,1663.0,1589.0,1041.0,967.0,350.0
59.0,1289.0,114.0,185.0,26.0,2760.0,4163.0,4075.0,3059.0,2971.0,1079.0
60.0,182.0,258.0,48.0,88.0,2696.0,3136.0,2966.0,3002.0,2832.0,777.0
61.0,125.0,765.0,35.0,239.0,697.0,1587.0,1061.0,1497.0,971.0,633.0
62.0,464.0,262.0,101.0,99.0,4895.0,5621.0,5458.0,5258.0,5095.0,1832.0
63.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,719.0
64.0,330.0,256.0,158.0,62.0,2626.0,3212.0,3018.0,3040.0,2846.0,1062.0
65.0,108.0,485.0,20.0,110.0,916.0,1509.0,1134.0,1421.0,1046.0,541.0
66.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1077.0
67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1632.0
68.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1807.0
69.0,109.0,508.0,34.0,110.0,1553.0,2170.0,1772.0,2095.0,1697.0,415.0
70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1356.0
71.0,678.0,119.0,217.0,73.0,192.0,989.0,943.0,528.0,482.0,383.0
72.0,1050.0,170.0,245.0,78.0,1329.0,2549.0,2457.0,1744.0,1652.0,888.0
73.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,535.0
74.0,777.0,225.0,147.0,71.0,2302.0,3304.0,3150.0,2674.0,2520.0,932.0
75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1661.0
76.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,928.0
77.0,96.0,145.0,16.0,35.0,270.0,511.0,401.0,431.0,321.0,198.0
78.0,289.0,422.0,70.0,133.0,2700.0,3411.0,3122.0,3192.0,2903.0,546.0
79.0,465.0,395.0,122.0,69.0,2451.0,3311.0,2985.0,2968.0,2642.0,680.0
80.0,343.0,87.0,118.0,65.0,3763.0,4193.0,4171.0,3968.0,3946.0,944.0
81.0,185.0,526.0,95.0,115.0,1867.0,2578.0,2167.0,2488.0,2077.0,521.0
82.0,1470.0,1049.0,228.0,256.0,6733.0,9252.0,8459.0,8010.0,7217.0,798.0
83.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,499.0
84.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,887.0
85.0,210.0,443.0,74.0,132.0,3251.0,3904.0,3593.0,3768.0,3457.0,1244.0
86.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,832.0
87.0,1331.0,171.0,256.0,47.0,2109.0,3611.0,3487.0,2536.0,2412.0,1091.0
88.0,148.0,138.0,36.0,40.0,2628.0,2914.0,2816.0,2802.0,2704.0,658.0
89.0,419.0,238.0,118.0,91.0,3170.0,3827.0,3680.0,3526.0,3379.0,1066.0
90.0,205.0,199.0,15.0,71.0,824.0,1228.0,1100.0,1038.0,910.0,780.0
91.0,282.0,368.0,100.0,248.0,1580.0,2230.0,2110.0,2048.0,1928.0,880.0
92.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1285.0
93.0,110.0,1016.0,38.0,211.0,10381.0,11507.0,10702.0,11435.0,10630.0,1642.0
94.0,339.0,161.0,86.0,26.0,2343.0,2843.0,2708.0,2590.0,2455.0,818.0
95.0,93.0,205.0,56.0,74.0,2994.0,3292.0,3161.0,3255.0,3124.0,708.0
96.0,466.0,897.0,90.0,332.0,2834.0,4197.0,3632.0,3821.0,3256.0,1006.0
97.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1109.0
98.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,555.0
99.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,299.0
100.0,1297.0,977.0,244.0,143.0,445.0,2719.0,1885.0,1666.0,832.0,579.0
101.0,861.0,660.0,143.0,125.0,8822.0,10343.0,9808.0,9625.0,9090.0,2011.0
102.0,257.0,339.0,81.0,88.0,2965.0,3561.0,3310.0,3385.0,3134.0,991.0
103.0,382.0,275.0,117.0,53.0,4778.0,5435.0,5213.0,5170.0,4948.0,1509.0
104.0,1707.0,663.0,264.0,144.0,1748.0,4118.0,3599.0,2675.0,2156.0,829.0
105.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,412.0
106.0,121.0,93.0,62.0,26.0,5113.0,5327.0,5260.0,5268.0,5201.0,1463.0
107.0,94.0,671.0,26.0,135.0,4124.0,4889.0,4353.0,4821.0,4285.0,735.0
108.0,1634.0,843.0,414.0,150.0,3390.0,5867.0,5174.0,4647.0,3954.0,1667.0
109.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,732.0
110.0,408.0,1228.0,116.0,245.0,1230.0,2866.0,1883.0,2574.0,1591.0,766.0
111.0,566.0,469.0,326.0,90.0,3876.0,4911.0,4532.0,4671.0,4292.0,666.0
112.0,269.0,717.0,47.0,158.0,4569.0,5555.0,4996.0,5333.0,4774.0,867.0
113.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,690.0
114.0,215.0,369.0,76.0,104.0,2898.0,3482.0,3217.0,3343.0,3078.0,964.0
115.0,84.0,327.0,45.0,93.0,2943.0,3354.0,3120.0,3315.0,3081.0,1129.0
116.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2649.0
117.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1914.0
118.0,1400.0,531.0,235.0,130.0,1339.0,3270.0,2869.0,2105.0,1704.0,1157.0
119.0,52.0,101.0,24.0,41.0,3144.0,3297.0,3237.0,3269.0,3209.0,821.0
120.0,1313.0,342.0,183.0,118.0,11517.0,13172.0,12948.0,12042.0,11818.0,1098.0
121.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1495.0
122.0,243.0,160.0,101.0,29.0,146.0,549.0,418.0,407.0,276.0,262.0
123.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1200.0
124.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2405.0
125.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,900.0
126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1372.0
127.0,363.0,367.0,93.0,57.0,3601.0,4331.0,4021.0,4061.0,3751.0,780.0
128.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,143.0
129.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1307.0
130.0,436.0,338.0,94.0,92.0,1706.0,2480.0,2234.0,2138.0,1892.0,649.0
131.0,256.0,126.0,93.0,59.0,2642.0,3024.0,2957.0,2861.0,2794.0,493.0
132.0,2097.0,684.0,273.0,131.0,14360.0,17141.0,16588.0,15317.0,14764.0,1510.0
133.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,994.0
134.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,853.0
135.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,920.0
136.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,437.0
137.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.0
138.0,210.0,134.0,51.0,33.0,1594.0,1938.0,1837.0,1779.0,1678.0,399.0
139.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,917.0
140.0,497.0,363.0,136.0,78.0,1003.0,1863.0,1578.0,1502.0,1217.0,365.0
141.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,406.0
142.0,1034.0,183.0,191.0,156.0,2175.0,3392.0,3365.0,2549.0,2522.0,850.0
143.0,893.0,353.0,163.0,63.0,2626.0,3872.0,3582.0,3142.0,2852.0,687.0
144.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1149.0
145.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,625.0
146.0,637.0,655.0,97.0,98.0,2475.0,3767.0,3210.0,3227.0,2670.0,713.0
147.0,1276.0,152.0,185.0,48.0,7208.0,8636.0,8532.0,7545.0,7441.0,1217.0
148.0,242.0,770.0,108.0,99.0,4155.0,5167.0,4496.0,5033.0,4362.0,1147.0
149.0,801.0,897.0,131.0,332.0,3419.0,5117.0,4552.0,4447.0,3882.0,928.0
150.0,479.0,73.0,148.0,51.0,334.0,886.0,864.0,555.0,533.0,285.0
151.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,368.0
152.0,373.0,138.0,126.0,53.0,3322.0,3833.0,3748.0,3586.0,3501.0,911.0
153.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1285.0
154.0,718.0,548.0,197.0,116.0,633.0,1899.0,1467.0,1378.0,946.0,544.0
155.0,981.0,1164.0,240.0,168.0,326.0,2471.0,1475.0,1730.0,734.0,584.0
156.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2094.0
157.0,738.0,1236.0,193.0,157.0,5942.0,7916.0,6837.0,7371.0,6292.0,1049.0
158.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,614.0
159.0,760.0,223.0,129.0,65.0,999.0,1982.0,1824.0,1351.0,1193.0,488.0
160.0,91.0,703.0,58.0,117.0,4430.0,5224.0,4638.0,5191.0,4605.0,932.0
161.0,245.0,1090.0,37.0,185.0,688.0,2023.0,1118.0,1815.0,910.0,473.0
162.0,1030.0,641.0,248.0,138.0,2633.0,4304.0,3801.0,3522.0,3019.0,621.0
163.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1083.0
164.0,301.0,895.0,85.0,165.0,5888.0,7084.0,6354.0,6868.0,6138.0,1462.0
165.0,595.0,830.0,141.0,128.0,3652.0,5077.0,4375.0,4623.0,3921.0,817.0
166.0,824.0,1058.0,264.0,268.0,4682.0,6564.0,5774.0,6004.0,5214.0,1341.0
167.0,912.0,346.0,192.0,96.0,4831.0,6089.0,5839.0,5369.0,5119.0,1398.0
168.0,439.0,155.0,137.0,52.0,3102.0,3696.0,3593.0,3394.0,3291.0,1030.0
169.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,221.0
170.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,213.0
171.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1751.0
172.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1196.0
173.0,99.0,1022.0,23.0,106.0,2115.0,3236.0,2320.0,3160.0,2244.0,411.0
174.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1288.0
175.0,145.0,122.0,74.0,52.0,2090.0,2357.0,2287.0,2286.0,2216.0,896.0
176.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,479.0
177.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,711.0
178.0,1093.0,349.0,153.0,37.0,2795.0,4237.0,3925.0,3297.0,2985.0,1146.0
179.0,745.0,137.0,174.0,38.0,2723.0,3605.0,3506.0,3034.0,2935.0,1006.0
180.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,896.0
181.0,369.0,1401.0,59.0,241.0,224.0,1994.0,834.0,1684.0,524.0,464.0
182.0,261.0,252.0,241.0,43.0,2239.0,2752.0,2543.0,2732.0,2523.0,953.0
183.0,667.0,171.0,135.0,49.0,2667.0,3505.0,3383.0,2973.0,2851.0,660.0
184.0,184.0,344.0,218.0,101.0,4334.0,4862.0,4619.0,4896.0,4653.0,980.0
185.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,621.0
186.0,1133.0,681.0,153.0,144.0,5215.0,7029.0,6492.0,6049.0,5512.0,1050.0
187.0,162.0,60.0,83.0,22.0,4180.0,4402.0,4364.0,4323.0,4285.0,1100.0
188.0,355.0,577.0,63.0,133.0,3400.0,4332.0,3888.0,4040.0,3596.0,709.0
189.0,459.0,249.0,131.0,302.0,739.0,1447.0,1500.0,1119.0,1172.0,651.0
190.0,545.0,640.0,154.0,128.0,1118.0,2303.0,1791.0,1912.0,1400.0,808.0
191.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1514.0
192.0,301.0,106.0,39.0,39.0,217.0,624.0,557.0,362.0,295.0,195.0
193.0,349.0,1104.0,122.0,238.0,4372.0,5825.0,4959.0,5598.0,4732.0,1292.0
194.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,651.0
195.0,1065.0,238.0,184.0,91.0,4656.0,5959.0,5812.0,5078.0,4931.0,1735.0
196.0,201.0,132.0,49.0,24.0,3152.0,3485.0,3377.0,3333.0,3225.0,822.0
197.0,436.0,119.0,77.0,40.0,2775.0,3330.0,3251.0,2971.0,2892.0,964.0
198.0,927.0,159.0,165.0,65.0,425.0,1511.0,1417.0,749.0,655.0,423.0
199.0,134.0,690.0,32.0,169.0,3135.0,3959.0,3438.0,3857.0,3336.0,1017.0
200.0,1421.0,144.0,311.0,196.0,3121.0,4686.0,4738.0,3576.0,3628.0,1439.0
201.0,82.0,166.0,7.0,64.0,2878.0,3126.0,3024.0,3051.0,2949.0,798.0
202.0,663.0,81.0,159.0,152.0,464.0,1208.0,1279.0,704.0,775.0,445.0
203.0,2598.0,1239.0,330.0,324.0,5520.0,9357.0,8442.0,7089.0,6174.0,1224.0
204.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1695.0
205.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,174.0
206.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1348.0
207.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1661.0
208.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,346.0
209.0,274.0,211.0,53.0,58.0,2662.0,3147.0,2994.0,2926.0,2773.0,663.0
210.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,401.0
211.0,283.0,272.0,99.0,70.0,1044.0,1599.0,1397.0,1415.0,1213.0,620.0
212.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1485.0
213.0,312.0,254.0,71.0,56.0,6502.0,7068.0,6870.0,6827.0,6629.0,1126.0
214.0,3126.0,346.0,380.0,96.0,5009.0,8481.0,8231.0,5735.0,5485.0,1327.0
215.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1630.0
216.0,1074.0,135.0,215.0,19.0,5950.0,7159.0,7043.0,6300.0,6184.0,905.0
217.0,596.0,135.0,197.0,232.0,519.0,1250.0,1347.0,851.0,948.0,348.0
218.0,681.0,16.0,147.0,32.0,5105.0,5802.0,5818.0,5268.0,5284.0,989.0
219.0,1222.0,1294.0,275.0,224.0,2511.0,5027.0,3957.0,4080.0,3010.0,742.0
220.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,653.0
221.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1477.0
222.0,72.0,308.0,7.0,63.0,2645.0,3025.0,2780.0,2960.0,2715.0,755.0
223.0,1031.0,196.0,211.0,38.0,1358.0,2585.0,2427.0,1765.0,1607.0,690.0
224.0,1929.0,172.0,331.0,74.0,1458.0,3559.0,3461.0,1961.0,1863.0,926.0
225.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1531.0
226.0,571.0,208.0,116.0,155.0,5909.0,6688.0,6635.0,6233.0,6180.0,1418.0
227.0,807.0,186.0,150.0,155.0,4204.0,5197.0,5166.0,4540.0,4509.0,1570.0
228.0,1182.0,469.0,200.0,93.0,1835.0,3486.0,3110.0,2504.0,2128.0,740.0
229.0,357.0,378.0,86.0,88.0,1796.0,2531.0,2241.0,2260.0,1970.0,1034.0
230.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1689.0
231.0,658.0,1069.0,136.0,168.0,8221.0,9948.0,9047.0,9426.0,8525.0,1933.0
232.0,753.0,784.0,217.0,151.0,3263.0,4800.0,4167.0,4264.0,3631.0,732.0
233.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1074.0
234.0,504.0,235.0,125.0,47.0,5075.0,5814.0,5626.0,5435.0,5247.0,971.0
235.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,574.0
236.0,357.0,875.0,77.0,325.0,1624.0,2856.0,2306.0,2576.0,2026.0,840.0
237.0,1192.0,1168.0,203.0,218.0,5565.0,7925.0,6975.0,6936.0,5986.0,713.0
238.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,365.0
239.0,409.0,790.0,123.0,155.0,3971.0,5170.0,4535.0,4884.0,4249.0,827.0
240.0,565.0,717.0,135.0,158.0,4868.0,6150.0,5591.0,5720.0,5161.0,1122.0
241.0,1067.0,222.0,208.0,70.0,2944.0,4233.0,4081.0,3374.0,3222.0,1245.0
242.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,453.0
243.0,2417.0,122.0,408.0,52.0,2894.0,5433.0,5363.0,3424.0,3354.0,1321.0
244.0,884.0,223.0,156.0,58.0,1924.0,3031.0,2866.0,2303.0,2138.0,627.0
245.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1433.0
246.0,350.0,117.0,87.0,54.0,3157.0,3624.0,3561.0,3361.0,3298.0,611.0
247.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1004.0
248.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1056.0
249.0,96.0,882.0,16.0,144.0,3970.0,4948.0,4210.0,4868.0,4130.0,534.0
250.0,148.0,97.0,36.0,29.0,1761.0,2006.0,1938.0,1894.0,1826.0,742.0
251.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1063.0
252.0,123.0,132.0,55.0,57.0,669.0,924.0,849.0,856.0,781.0,624.0
253.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1962.0
254.0,418.0,150.0,120.0,56.0,4143.0,4711.0,4617.0,4413.0,4319.0,1148.0
255.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1037.0
256.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1249.0
257.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1022.0
258.0,233.0,328.0,42.0,121.0,1424.0,1985.0,1778.0,1794.0,1587.0,566.0
259.0,1510.0,633.0,252.0,117.0,2313.0,4456.0,3940.0,3198.0,2682.0,995.0
260.0,292.0,329.0,109.0,109.0,3772.0,4393.0,4173.0,4210.0,3990.0,705.0
261.0,274.0,159.0,53.0,91.0,2680.0,3113.0,3045.0,2892.0,2824.0,781.0
262.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1475.0
263.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,68.0
264.0,1218.0,946.0,228.0,132.0,3086.0,5250.0,4436.0,4260.0,3446.0,1379.0
265.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,467.0
266.0,598.0,508.0,141.0,110.0,1516.0,2622.0,2224.0,2165.0,1767.0,852.0
267.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1256.0
268.0,950.0,469.0,200.0,90.0,9595.0,11014.0,10635.0,10264.0,9885.0,1797.0
269.0,52.0,151.0,9.0,65.0,1262.0,1465.0,1379.0,1422.0,1336.0,484.0
270.0,158.0,85.0,54.0,7.0,2680.0,2923.0,2845.0,2819.0,2741.0,613.0
271.0,662.0,571.0,102.0,99.0,150.0,1383.0,911.0,823.0,351.0,274.0
272.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,111.0
273.0,138.0,946.0,16.0,132.0,12873.0,13957.0,13143.0,13835.0,13021.0,613.0
274.0,345.0,392.0,68.0,71.0,13505.0,14242.0,13921.0,13965.0,13644.0,726.0
275.0,1389.0,286.0,253.0,118.0,1275.0,2950.0,2782.0,1814.0,1646.0,1309.0
276.0,590.0,197.0,141.0,75.0,10581.0,11368.0,11246.0,10919.0,10797.0,1416.0
277.0,819.0,159.0,124.0,65.0,9699.0,10677.0,10583.0,9982.0,9888.0,2148.0
278.0,1188.0,236.0,210.0,94.0,292.0,1716.0,1574.0,738.0,596.0,413.0
279.0,1034.0,194.0,191.0,69.0,2270.0,3498.0,3373.0,2655.0,2530.0,915.0
280.0,559.0,170.0,177.0,78.0,310.0,1039.0,947.0,657.0,565.0,351.0
281.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,509.0
282.0,246.0,1320.0,80.0,222.0,1096.0,2662.0,1564.0,2496.0,1398.0,887.0
283.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1453.0
284.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1145.0
285.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,97.0
286.0,172.0,267.0,71.0,34.0,3426.0,3865.0,3632.0,3764.0,3531.0,1045.0
287.0,69.0,161.0,5.0,61.0,2683.0,2913.0,2813.0,2849.0,2749.0,942.0
288.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1356.0
289.0,378.0,121.0,142.0,37.0,2330.0,2829.0,2745.0,2593.0,2509.0,963.0
290.0,158.0,648.0,37.0,117.0,701.0,1507.0,976.0,1386.0,855.0,458.0
291.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,393.0
292.0,588.0,666.0,114.0,142.0,2060.0,3314.0,2790.0,2840.0,2316.0,975.0
293.0,238.0,293.0,63.0,81.0,2951.0,3482.0,3270.0,3307.0,3095.0,730.0
294.0,284.0,1349.0,38.0,201.0,1847.0,3480.0,2332.0,3234.0,2086.0,902.0
295.0,459.0,713.0,131.0,172.0,1825.0,2997.0,2456.0,2669.0,2128.0,832.0
296.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1299.0
297.0,627.0,832.0,153.0,129.0,9470.0,10929.0,10226.0,10455.0,9752.0,372.0
298.0,427.0,392.0,352.0,71.0,1732.0,2551.0,2230.0,2476.0,2155.0,983.0
299.0,1364.0,551.0,215.0,691.0,3301.0,5216.0,5356.0,4067.0,4207.0,594.0
300.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,818.0
301.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,517.0
302.0,488.0,480.0,99.0,182.0,602.0,1570.0,1272.0,1181.0,883.0,715.0
303.0,1402.0,198.0,183.0,59.0,6398.0,7998.0,7859.0,6779.0,6640.0,1131.0
304.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,692.0
305.0,1081.0,170.0,186.0,54.0,3350.0,4601.0,4485.0,3706.0,3590.0,1296.0
306.0,259.0,279.0,125.0,111.0,2977.0,3515.0,3347.0,3381.0,3213.0,758.0
