OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1570.0
1.0,1272.0,423.0,207.0,71.0,6072.0,7767.0,7415.0,6702.0,6350.0,1247.0
2.0,925.0,2223.0,187.0,338.0,818.0,3966.0,2081.0,3228.0,1343.0,740.0
3.0,245.0,510.0,62.0,83.0,1932.0,2687.0,2260.0,2504.0,2077.0,953.0
4.0,328.0,219.0,118.0,167.0,3251.0,3798.0,3746.0,3588.0,3536.0,1082.0
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,317.0
6.0,875.0,365.0,122.0,104.0,2116.0,3356.0,3095.0,2603.0,2342.0,831.0
7.0,1441.0,112.0,279.0,106.0,2825.0,4378.0,4372.0,3216.0,3210.0,1128.0
8.0,1878.0,225.0,327.0,120.0,3661.0,5764.0,5659.0,4213.0,4108.0,1388.0
9.0,178.0,546.0,59.0,256.0,2782.0,3506.0,3216.0,3387.0,3097.0,1027.0
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1806.0
11.0,1066.0,302.0,200.0,98.0,3168.0,4536.0,4332.0,3670.0,3466.0,959.0
12.0,1912.0,590.0,323.0,199.0,1113.0,3615.0,3224.0,2026.0,1635.0,999.0
13.0,528.0,180.0,92.0,87.0,2987.0,3695.0,3602.0,3259.0,3166.0,1241.0
14.0,574.0,239.0,97.0,167.0,5463.0,6276.0,6204.0,5799.0,5727.0,1882.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1795.0
16.0,517.0,1540.0,121.0,319.0,2537.0,4594.0,3373.0,4198.0,2977.0,1022.0
17.0,261.0,275.0,243.0,93.0,4565.0,5101.0,4919.0,5083.0,4901.0,1405.0
18.0,428.0,165.0,113.0,35.0,553.0,1146.0,1016.0,831.0,701.0,423.0
19.0,494.0,249.0,122.0,81.0,3626.0,4369.0,4201.0,3997.0,3829.0,1199.0
20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1117.0
21.0,502.0,211.0,239.0,60.0,4354.0,5067.0,4916.0,4804.0,4653.0,1109.0
22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1528.0
23.0,1182.0,818.0,195.0,264.0,5953.0,7953.0,7399.0,6966.0,6412.0,1921.0
24.0,825.0,188.0,175.0,106.0,6904.0,7917.0,7835.0,7267.0,7185.0,1507.0
25.0,542.0,219.0,126.0,167.0,1116.0,1877.0,1825.0,1461.0,1409.0,843.0
26.0,485.0,264.0,111.0,160.0,2399.0,3148.0,3044.0,2774.0,2670.0,921.0
27.0,880.0,993.0,220.0,148.0,5163.0,7036.0,6191.0,6376.0,5531.0,1664.0
28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,280.0
29.0,1595.0,185.0,183.0,153.0,5319.0,7099.0,7067.0,5687.0,5655.0,933.0
30.0,173.0,1042.0,15.0,270.0,704.0,1919.0,1147.0,1761.0,989.0,562.0
31.0,763.0,260.0,134.0,62.0,4775.0,5798.0,5600.0,5169.0,4971.0,1041.0
32.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1018.0
33.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,638.0
34.0,173.0,290.0,174.0,84.0,2533.0,2996.0,2790.0,2997.0,2791.0,1310.0
35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,854.0
36.0,266.0,199.0,99.0,135.0,4643.0,5108.0,5044.0,4941.0,4877.0,1487.0
37.0,1030.0,1208.0,146.0,317.0,268.0,2506.0,1615.0,1622.0,731.0,467.0
38.0,275.0,635.0,58.0,139.0,1671.0,2581.0,2085.0,2364.0,1868.0,624.0
39.0,103.0,129.0,6.0,65.0,4314.0,4546.0,4482.0,4449.0,4385.0,1100.0
40.0,278.0,360.0,88.0,197.0,2931.0,3569.0,3406.0,3379.0,3216.0,1148.0
41.0,583.0,322.0,147.0,149.0,6419.0,7324.0,7151.0,6888.0,6715.0,1914.0
42.0,281.0,405.0,42.0,91.0,2951.0,3637.0,3323.0,3398.0,3084.0,1249.0
43.0,1036.0,72.0,221.0,162.0,1661.0,2769.0,2859.0,1954.0,2044.0,1129.0
44.0,272.0,257.0,66.0,162.0,1142.0,1671.0,1576.0,1465.0,1370.0,717.0
45.0,847.0,851.0,183.0,284.0,598.0,2296.0,1729.0,1632.0,1065.0,610.0
46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1091.0
47.0,563.0,407.0,89.0,112.0,3866.0,4836.0,4541.0,4362.0,4067.0,1433.0
48.0,583.0,354.0,147.0,224.0,4385.0,5322.0,5192.0,4886.0,4756.0,1390.0
49.0,557.0,387.0,116.0,123.0,2079.0,3023.0,2759.0,2582.0,2318.0,797.0
