OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,753.0,471.0,169.0,88.0,3251.0,4475.0,4092.0,3891.0,3508.0,1508.0
1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1623.0
2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1660.0
3.0,145.0,326.0,70.0,32.0,4652.0,5123.0,4829.0,5048.0,4754.0,1137.0
4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1404.0
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2733.0
6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,884.0
7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1233.0
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,526.0
9.0,408.0,299.0,95.0,224.0,1598.0,2305.0,2230.0,1992.0,1917.0,755.0
10.0,898.0,143.0,222.0,112.0,4193.0,5234.0,5203.0,4558.0,4527.0,1944.0
11.0,321.0,1143.0,127.0,184.0,1570.0,3034.0,2075.0,2840.0,1881.0,641.0
12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1896.0
13.0,1151.0,546.0,303.0,165.0,5111.0,6808.0,6427.0,5960.0,5579.0,1582.0
14.0,205.0,155.0,109.0,125.0,2218.0,2578.0,2548.0,2482.0,2452.0,1307.0
15.0,302.0,551.0,40.0,101.0,2974.0,3827.0,3377.0,3565.0,3115.0,934.0
16.0,420.0,10.0,87.0,1.0,3311.0,3741.0,3732.0,3408.0,3399.0,900.0
17.0,574.0,932.0,187.0,190.0,722.0,2228.0,1486.0,1841.0,1099.0,324.0
18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1179.0
19.0,601.0,619.0,182.0,142.0,2867.0,4087.0,3610.0,3668.0,3191.0,803.0
20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2634.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1090.0
22.0,954.0,1292.0,169.0,331.0,1797.0,4043.0,3082.0,3258.0,2297.0,1036.0
23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,645.0
24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1276.0
25.0,716.0,1193.0,194.0,207.0,758.0,2667.0,1681.0,2145.0,1159.0,694.0
26.0,1004.0,400.0,168.0,121.0,3156.0,4560.0,4281.0,3724.0,3445.0,758.0
27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2417.0
28.0,875.0,163.0,234.0,61.0,3881.0,4919.0,4817.0,4278.0,4176.0,1631.0
29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,305.0
30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1853.0
31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,387.0
32.0,914.0,87.0,211.0,202.0,4575.0,5576.0,5691.0,4873.0,4988.0,1536.0
33.0,927.0,596.0,147.0,136.0,3151.0,4674.0,4214.0,3894.0,3434.0,1593.0
34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1705.0
35.0,524.0,1057.0,116.0,177.0,6225.0,7806.0,6926.0,7398.0,6518.0,1374.0
36.0,968.0,723.0,268.0,130.0,1109.0,2800.0,2207.0,2100.0,1507.0,1199.0
37.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,758.0
38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,625.0
39.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,752.0
40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1545.0
41.0,118.0,922.0,54.0,251.0,4140.0,5180.0,4509.0,5116.0,4445.0,1478.0
42.0,263.0,740.0,67.0,146.0,3232.0,4235.0,3641.0,4039.0,3445.0,1337.0
43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2608.0
44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1609.0
45.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2745.0
46.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1740.0
47.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2910.0
48.0,376.0,550.0,110.0,165.0,3691.0,4617.0,4232.0,4351.0,3966.0,1004.0
49.0,326.0,527.0,55.0,147.0,2740.0,3593.0,3213.0,3322.0,2942.0,1728.0
50.0,397.0,348.0,120.0,67.0,860.0,1605.0,1324.0,1328.0,1047.0,709.0
51.0,508.0,461.0,131.0,169.0,4471.0,5440.0,5148.0,5063.0,4771.0,1676.0
52.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,226.0
53.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,355.0
54.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1737.0
55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1330.0
56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1673.0
57.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2620.0
58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1108.0
59.0,149.0,828.0,45.0,174.0,6852.0,7829.0,7175.0,7725.0,7071.0,2127.0
60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2108.0
61.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1100.0
62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1596.0
63.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1077.0
64.0,708.0,306.0,127.0,142.0,5089.0,6103.0,5939.0,5522.0,5358.0,1998.0
65.0,1001.0,808.0,143.0,157.0,267.0,2076.0,1425.0,1218.0,567.0,477.0
66.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2056.0
67.0,499.0,294.0,102.0,33.0,2791.0,3584.0,3323.0,3187.0,2926.0,989.0
68.0,118.0,429.0,18.0,207.0,3405.0,3952.0,3730.0,3852.0,3630.0,1119.0
69.0,1460.0,600.0,237.0,157.0,2982.0,5042.0,4599.0,3819.0,3376.0,1144.0
70.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2035.0
71.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1985.0
72.0,293.0,775.0,102.0,280.0,259.0,1327.0,832.0,1136.0,641.0,418.0
73.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1265.0
