OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,1479.0,694.0,298.0,266.0,2268.0,4441.0,4013.0,3260.0,2832.0,1308.0
1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2040.0
2.0,84.0,165.0,155.0,190.0,3335.0,3584.0,3609.0,3655.0,3680.0,986.0
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1120.0
4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,729.0
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2362.0
6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1038.0
7.0,983.0,151.0,186.0,69.0,4741.0,5875.0,5793.0,5078.0,4996.0,1062.0
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1769.0
9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1769.0
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,650.0
11.0,1322.0,486.0,205.0,155.0,8614.0,10422.0,10091.0,9305.0,8974.0,1775.0
12.0,661.0,198.0,150.0,15.0,7221.0,8080.0,7897.0,7569.0,7386.0,1769.0
13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1165.0
14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,544.0
15.0,412.0,38.0,109.0,121.0,2012.0,2462.0,2545.0,2159.0,2242.0,715.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1413.0
17.0,463.0,612.0,140.0,138.0,3713.0,4788.0,4314.0,4465.0,3991.0,573.0
18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1370.0
19.0,179.0,1005.0,82.0,307.0,939.0,2123.0,1425.0,2026.0,1328.0,525.0
20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,729.0
21.0,1314.0,181.0,211.0,125.0,5479.0,6974.0,6918.0,5871.0,5815.0,1044.0
22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1655.0
23.0,1135.0,193.0,191.0,48.0,2935.0,4263.0,4118.0,3319.0,3174.0,876.0
24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,306.0
25.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1732.0
26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2758.0
27.0,825.0,143.0,241.0,53.0,5090.0,6058.0,5968.0,5474.0,5384.0,760.0
28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1625.0
29.0,983.0,885.0,205.0,99.0,721.0,2589.0,1803.0,1811.0,1025.0,661.0
30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,563.0
31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,749.0
32.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1928.0
33.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1451.0
34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,246.0
35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,583.0
36.0,382.0,1254.0,141.0,265.0,2557.0,4193.0,3204.0,3952.0,2963.0,850.0
37.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1963.0
38.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,419.0
39.0,2327.0,579.0,49.0,157.0,8599.0,11505.0,11083.0,9227.0,8805.0,1879.0
40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2323.0
41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1568.0
42.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,277.0
43.0,331.0,901.0,103.0,211.0,4032.0,5264.0,4574.0,5036.0,4346.0,1078.0
44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1665.0
45.0,832.0,126.0,128.0,46.0,2293.0,3251.0,3171.0,2547.0,2467.0,812.0
46.0,698.0,431.0,171.0,186.0,7297.0,8426.0,8181.0,7899.0,7654.0,1809.0
47.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,766.0
48.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1916.0
49.0,494.0,795.0,160.0,144.0,1742.0,3031.0,2380.0,2697.0,2046.0,836.0
50.0,498.0,233.0,163.0,374.0,3861.0,4592.0,4733.0,4257.0,4398.0,1415.0
51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1535.0
52.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1890.0
