OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,918.0,1046.0,176.0,270.0,4319.0,6283.0,5507.0,5541.0,4765.0,1862.0
1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1550.0
2.0,694.0,394.0,133.0,74.0,518.0,1606.0,1286.0,1045.0,725.0,423.0
3.0,833.0,228.0,185.0,152.0,673.0,1734.0,1658.0,1086.0,1010.0,666.0
4.0,669.0,406.0,186.0,111.0,950.0,2025.0,1730.0,1542.0,1247.0,445.0
5.0,961.0,266.0,227.0,103.0,1355.0,2582.0,2419.0,1848.0,1685.0,743.0
6.0,708.0,577.0,194.0,79.0,2349.0,3634.0,3136.0,3120.0,2622.0,1057.0
7.0,471.0,114.0,113.0,52.0,152.0,737.0,675.0,379.0,317.0,235.0
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1736.0
9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,117.0
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1634.0
11.0,531.0,388.0,178.0,73.0,778.0,1697.0,1382.0,1344.0,1029.0,348.0
12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1616.0
13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,435.0
14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,779.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1260.0
16.0,1216.0,245.0,178.0,105.0,3133.0,4594.0,4454.0,3556.0,3416.0,644.0
17.0,404.0,1003.0,108.0,192.0,2382.0,3789.0,2978.0,3493.0,2682.0,1169.0
18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,380.0
19.0,2005.0,333.0,347.0,173.0,4325.0,6663.0,6503.0,5005.0,4845.0,1553.0
20.0,264.0,544.0,71.0,157.0,1172.0,1980.0,1593.0,1787.0,1400.0,678.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,913.0
22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2175.0
23.0,496.0,182.0,187.0,108.0,1887.0,2565.0,2491.0,2256.0,2182.0,1139.0
24.0,1273.0,785.0,174.0,221.0,6739.0,8797.0,8233.0,7698.0,7134.0,1716.0
25.0,694.0,853.0,96.0,195.0,1707.0,3254.0,2596.0,2656.0,1998.0,850.0
26.0,353.0,386.0,110.0,59.0,1358.0,2097.0,1770.0,1854.0,1527.0,926.0
27.0,508.0,1963.0,178.0,353.0,2776.0,5247.0,3637.0,4917.0,3307.0,1230.0
28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1589.0
29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2006.0
30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1698.0
31.0,429.0,696.0,126.0,162.0,1489.0,2614.0,2080.0,2311.0,1777.0,943.0
32.0,159.0,121.0,62.0,77.0,3189.0,3469.0,3425.0,3372.0,3328.0,1269.0
33.0,1184.0,295.0,257.0,68.0,449.0,1928.0,1701.0,1001.0,774.0,678.0
34.0,1036.0,406.0,181.0,72.0,1843.0,3285.0,2951.0,2430.0,2096.0,696.0
35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1329.0
