OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,446.0,848.0,156.0,178.0,2460.0,3754.0,3084.0,3464.0,2794.0,2110.0
1.0,1868.0,246.0,290.0,174.0,7981.0,10095.0,10023.0,8517.0,8445.0,2060.0
2.0,1137.0,1567.0,187.0,278.0,6844.0,9548.0,8259.0,8598.0,7309.0,756.0
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,345.0
4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2016.0
5.0,174.0,444.0,35.0,264.0,7328.0,7946.0,7766.0,7807.0,7627.0,2736.0
6.0,191.0,153.0,121.0,74.0,3540.0,3884.0,3805.0,3814.0,3735.0,1650.0
7.0,220.0,570.0,150.0,174.0,3135.0,3925.0,3529.0,3855.0,3459.0,1838.0
8.0,322.0,177.0,88.0,55.0,2613.0,3112.0,2990.0,2878.0,2756.0,1483.0
9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,716.0
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,635.0
11.0,488.0,92.0,248.0,300.0,1058.0,1638.0,1846.0,1398.0,1606.0,826.0
12.0,1374.0,515.0,225.0,120.0,6596.0,8485.0,8090.0,7336.0,6941.0,1479.0
13.0,778.0,966.0,361.0,342.0,1207.0,2951.0,2327.0,2534.0,1910.0,501.0
14.0,1051.0,212.0,232.0,44.0,6060.0,7323.0,7155.0,6504.0,6336.0,1624.0
15.0,584.0,1460.0,151.0,200.0,6138.0,8182.0,6922.0,7749.0,6489.0,2062.0
16.0,223.0,92.0,130.0,32.0,5146.0,5461.0,5401.0,5368.0,5308.0,1573.0
17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,864.0
18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,148.0
19.0,531.0,623.0,108.0,181.0,8040.0,9194.0,8752.0,8771.0,8329.0,3530.0
20.0,792.0,1316.0,224.0,262.0,2418.0,4526.0,3472.0,3958.0,2904.0,1158.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,688.0
22.0,1061.0,853.0,162.0,274.0,4980.0,6894.0,6315.0,5995.0,5416.0,1106.0
23.0,52.0,345.0,25.0,91.0,3494.0,3891.0,3637.0,3864.0,3610.0,892.0
24.0,115.0,202.0,64.0,231.0,3840.0,4157.0,4186.0,4106.0,4135.0,1462.0
25.0,722.0,946.0,167.0,206.0,2734.0,4402.0,3662.0,3847.0,3107.0,997.0
26.0,404.0,383.0,170.0,129.0,2040.0,2827.0,2573.0,2593.0,2339.0,1033.0
27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1389.0
28.0,294.0,170.0,166.0,191.0,781.0,1245.0,1266.0,1117.0,1138.0,857.0
29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2821.0
30.0,719.0,42.0,133.0,10.0,4584.0,5345.0,5313.0,4759.0,4727.0,1771.0
31.0,649.0,675.0,174.0,118.0,10823.0,12147.0,11590.0,11672.0,11115.0,2094.0
32.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,284.0
33.0,860.0,596.0,172.0,521.0,3300.0,4756.0,4681.0,4068.0,3993.0,1237.0
34.0,183.0,507.0,55.0,564.0,2703.0,3393.0,3450.0,3265.0,3322.0,1273.0
35.0,208.0,747.0,64.0,190.0,4080.0,5035.0,4478.0,4891.0,4334.0,1567.0
36.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1011.0
37.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2043.0
38.0,722.0,313.0,175.0,160.0,2341.0,3376.0,3223.0,2829.0,2676.0,2088.0
39.0,903.0,160.0,360.0,46.0,3902.0,4965.0,4851.0,4422.0,4308.0,1452.0
40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,4454.0
41.0,941.0,681.0,84.0,151.0,1261.0,2883.0,2353.0,2026.0,1496.0,529.0
42.0,179.0,398.0,266.0,232.0,707.0,1284.0,1118.0,1371.0,1205.0,484.0
43.0,808.0,625.0,189.0,100.0,2161.0,3594.0,3069.0,2975.0,2450.0,1046.0
44.0,186.0,698.0,79.0,174.0,7261.0,8145.0,7621.0,8038.0,7514.0,1597.0
