OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,421.0,940.0,127.0,160.0,3824.0,5185.0,4405.0,4891.0,4111.0,1448.0
1.0,520.0,558.0,141.0,144.0,1844.0,2922.0,2508.0,2543.0,2129.0,667.0
2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1674.0
3.0,554.0,859.0,80.0,151.0,2012.0,3425.0,2717.0,2951.0,2243.0,668.0
4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1596.0
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1059.0
6.0,471.0,139.0,105.0,46.0,4860.0,5470.0,5377.0,5104.0,5011.0,1069.0
7.0,1269.0,138.0,299.0,164.0,1699.0,3106.0,3132.0,2136.0,2162.0,616.0
8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1245.0
9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,813.0
10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,975.0
11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1424.0
12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,436.0
13.0,303.0,243.0,61.0,59.0,1957.0,2503.0,2319.0,2261.0,2077.0,971.0
14.0,1053.0,139.0,196.0,46.0,1267.0,2459.0,2366.0,1602.0,1509.0,489.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,704.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,391.0
17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1071.0
18.0,945.0,228.0,171.0,242.0,411.0,1584.0,1598.0,810.0,824.0,479.0
19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1378.0
20.0,84.0,356.0,18.0,161.0,554.0,994.0,799.0,928.0,733.0,446.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,941.0
22.0,144.0,298.0,59.0,110.0,1011.0,1453.0,1265.0,1368.0,1180.0,525.0
23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1522.0
24.0,197.0,372.0,87.0,69.0,2701.0,3270.0,2967.0,3160.0,2857.0,723.0
25.0,401.0,594.0,194.0,131.0,3638.0,4633.0,4170.0,4426.0,3963.0,1154.0
26.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,489.0
27.0,670.0,101.0,133.0,36.0,2176.0,2947.0,2882.0,2410.0,2345.0,865.0
28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,580.0
29.0,321.0,173.0,89.0,34.0,1802.0,2296.0,2157.0,2064.0,1925.0,803.0
30.0,239.0,310.0,53.0,92.0,733.0,1282.0,1064.0,1096.0,878.0,442.0
31.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1064.0
32.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,299.0
33.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,679.0
34.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,868.0
35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1231.0
36.0,834.0,227.0,125.0,37.0,1946.0,3007.0,2817.0,2298.0,2108.0,700.0
37.0,144.0,306.0,47.0,155.0,2531.0,2981.0,2830.0,2884.0,2733.0,1075.0
38.0,405.0,492.0,100.0,140.0,3104.0,4001.0,3649.0,3696.0,3344.0,872.0
39.0,609.0,382.0,127.0,166.0,4143.0,5134.0,4918.0,4652.0,4436.0,1290.0
40.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1325.0
41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1416.0
42.0,466.0,248.0,71.0,77.0,1163.0,1877.0,1706.0,1482.0,1311.0,646.0
43.0,852.0,548.0,164.0,145.0,3643.0,5043.0,4640.0,4355.0,3952.0,1111.0
44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1193.0
45.0,925.0,654.0,183.0,176.0,2937.0,4516.0,4038.0,3774.0,3296.0,1070.0
46.0,368.0,237.0,89.0,92.0,4745.0,5350.0,5205.0,5071.0,4926.0,1260.0
47.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1404.0
48.0,1284.0,158.0,176.0,104.0,2863.0,4305.0,4251.0,3197.0,3143.0,871.0
49.0,703.0,307.0,123.0,177.0,1959.0,2969.0,2839.0,2389.0,2259.0,397.0
50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,579.0
51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1549.0
52.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1193.0
53.0,577.0,648.0,83.0,145.0,820.0,2045.0,1542.0,1551.0,1048.0,548.0
54.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,824.0
55.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,964.0
56.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,741.0
57.0,229.0,881.0,54.0,120.0,3373.0,4483.0,3722.0,4308.0,3547.0,732.0
58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1380.0
59.0,398.0,681.0,79.0,228.0,3394.0,4473.0,4020.0,4154.0,3701.0,863.0
60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,650.0
61.0,1280.0,259.0,241.0,61.0,561.0,2100.0,1902.0,1061.0,863.0,692.0
62.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,882.0
63.0,540.0,668.0,133.0,87.0,1353.0,2561.0,1980.0,2154.0,1573.0,828.0
64.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,936.0
65.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1020.0
66.0,193.0,373.0,90.0,68.0,3125.0,3691.0,3386.0,3588.0,3283.0,995.0
67.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1263.0
