OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,445.0,137.0,109.0,42.0,634.0,1216.0,1121.0,880.0,785.0,334.0
1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,765.0
2.0,315.0,583.0,51.0,130.0,5112.0,6010.0,5557.0,5746.0,5293.0,1508.0
3.0,480.0,208.0,96.0,708.0,4878.0,5566.0,6066.0,5182.0,5682.0,1031.0
4.0,1443.0,637.0,299.0,140.0,638.0,2718.0,2221.0,1574.0,1077.0,680.0
5.0,203.0,1078.0,50.0,227.0,5482.0,6763.0,5912.0,6610.0,5759.0,941.0
6.0,3050.0,311.0,461.0,57.0,2221.0,5582.0,5328.0,2993.0,2739.0,935.0
7.0,1077.0,667.0,338.0,84.0,3884.0,5628.0,5045.0,4889.0,4306.0,1240.0
8.0,112.0,1551.0,30.0,453.0,2309.0,3972.0,2874.0,3890.0,2792.0,847.0
9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,759.0
10.0,48.0,603.0,4.0,168.0,1415.0,2066.0,1631.0,2022.0,1587.0,629.0
11.0,111.0,58.0,18.0,205.0,2300.0,2469.0,2616.0,2376.0,2523.0,720.0
12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1001.0
13.0,493.0,917.0,145.0,129.0,2769.0,4179.0,3391.0,3831.0,3043.0,999.0
14.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,416.0
15.0,359.0,309.0,117.0,127.0,2666.0,3334.0,3152.0,3092.0,2910.0,915.0
16.0,395.0,239.0,145.0,71.0,1493.0,2127.0,1959.0,1877.0,1709.0,742.0
17.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1325.0
18.0,125.0,395.0,98.0,105.0,850.0,1370.0,1080.0,1343.0,1053.0,598.0
19.0,431.0,21.0,99.0,1.0,3218.0,3670.0,3650.0,3338.0,3318.0,902.0
20.0,317.0,819.0,67.0,189.0,1366.0,2502.0,1872.0,2252.0,1622.0,724.0
21.0,674.0,467.0,147.0,102.0,812.0,1953.0,1588.0,1426.0,1061.0,533.0
22.0,86.0,94.0,15.0,32.0,713.0,893.0,831.0,822.0,760.0,406.0
23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,364.0
24.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,366.0
25.0,308.0,125.0,51.0,128.0,3124.0,3557.0,3560.0,3300.0,3303.0,724.0
26.0,1211.0,143.0,198.0,78.0,3712.0,5066.0,5001.0,4053.0,3988.0,827.0
27.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,314.0
28.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,962.0
29.0,452.0,693.0,72.0,115.0,8368.0,9513.0,8935.0,9133.0,8555.0,613.0
30.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1002.0
31.0,248.0,816.0,139.0,367.0,3712.0,4776.0,4327.0,4667.0,4218.0,905.0
32.0,98.0,144.0,21.0,44.0,1349.0,1591.0,1491.0,1514.0,1414.0,691.0
33.0,1314.0,329.0,209.0,79.0,3362.0,5005.0,4755.0,3900.0,3650.0,765.0
34.0,165.0,138.0,71.0,93.0,688.0,991.0,946.0,897.0,852.0,594.0
35.0,144.0,225.0,19.0,57.0,1203.0,1572.0,1404.0,1447.0,1279.0,829.0
36.0,973.0,1224.0,95.0,170.0,3268.0,5465.0,4411.0,4587.0,3533.0,1033.0
37.0,681.0,236.0,140.0,93.0,2379.0,3296.0,3153.0,2755.0,2612.0,948.0
38.0,481.0,314.0,171.0,63.0,3638.0,4433.0,4182.0,4123.0,3872.0,985.0
39.0,623.0,82.0,114.0,30.0,815.0,1520.0,1468.0,1011.0,959.0,516.0
40.0,284.0,623.0,61.0,141.0,4315.0,5222.0,4740.0,4999.0,4517.0,1014.0
41.0,279.0,176.0,63.0,87.0,2417.0,2872.0,2783.0,2656.0,2567.0,725.0
42.0,393.0,536.0,95.0,119.0,9978.0,10907.0,10490.0,10609.0,10192.0,809.0
43.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1196.0
44.0,146.0,44.0,43.0,112.0,2186.0,2376.0,2444.0,2273.0,2341.0,1040.0
45.0,1071.0,358.0,238.0,120.0,1054.0,2483.0,2245.0,1650.0,1412.0,665.0
46.0,306.0,277.0,50.0,150.0,4401.0,4984.0,4857.0,4728.0,4601.0,434.0
47.0,679.0,63.0,254.0,14.0,2913.0,3655.0,3606.0,3230.0,3181.0,1296.0
48.0,522.0,167.0,106.0,16.0,2761.0,3450.0,3299.0,3034.0,2883.0,897.0
49.0,129.0,1677.0,25.0,246.0,5500.0,7306.0,5875.0,7202.0,5771.0,1085.0
50.0,283.0,103.0,143.0,30.0,743.0,1129.0,1056.0,989.0,916.0,431.0
51.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,354.0
52.0,1077.0,302.0,338.0,90.0,891.0,2270.0,2058.0,1531.0,1319.0,640.0
53.0,318.0,105.0,119.0,13.0,1513.0,1936.0,1844.0,1737.0,1645.0,429.0
54.0,137.0,180.0,18.0,39.0,2464.0,2781.0,2640.0,2662.0,2521.0,646.0
55.0,70.0,1062.0,27.0,158.0,7260.0,8392.0,7488.0,8349.0,7445.0,913.0
56.0,189.0,375.0,72.0,335.0,4398.0,4962.0,4922.0,4845.0,4805.0,1612.0
57.0,532.0,1254.0,172.0,303.0,3087.0,4873.0,3922.0,4513.0,3562.0,1167.0
58.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,821.0
59.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1027.0
60.0,599.0,118.0,134.0,44.0,3650.0,4367.0,4293.0,3902.0,3828.0,1095.0
61.0,177.0,198.0,155.0,23.0,4148.0,4523.0,4348.0,4501.0,4326.0,1288.0
62.0,677.0,93.0,146.0,16.0,3936.0,4706.0,4629.0,4175.0,4098.0,1076.0
63.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,234.0
64.0,337.0,267.0,72.0,79.0,4271.0,4875.0,4687.0,4610.0,4422.0,1607.0
65.0,393.0,552.0,103.0,126.0,1592.0,2537.0,2111.0,2247.0,1821.0,872.0
66.0,861.0,1455.0,194.0,356.0,1602.0,3918.0,2819.0,3251.0,2152.0,979.0
67.0,439.0,1102.0,96.0,128.0,3364.0,4905.0,3931.0,4562.0,3588.0,1098.0
68.0,96.0,1062.0,62.0,158.0,6769.0,7927.0,7023.0,7893.0,6989.0,832.0
69.0,247.0,247.0,40.0,82.0,1455.0,1949.0,1784.0,1742.0,1577.0,832.0
70.0,70.0,155.0,15.0,68.0,900.0,1125.0,1038.0,1070.0,983.0,306.0
71.0,225.0,314.0,50.0,63.0,4167.0,4706.0,4455.0,4531.0,4280.0,681.0
72.0,819.0,465.0,109.0,106.0,1246.0,2530.0,2171.0,1820.0,1461.0,650.0
73.0,283.0,172.0,61.0,46.0,2763.0,3218.0,3092.0,2996.0,2870.0,605.0
74.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1530.0
75.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,405.0
