OD_Pair,FM_Walk,LM_Walk,FM Drive,LM Drive,Transit,M1,M2,M3,M4,M5
0.0,213.0,1115.0,160.0,129.0,3719.0,5047.0,4061.0,4994.0,4008.0,864.0
1.0,412.0,8.0,101.0,8.0,5096.0,5516.0,5516.0,5205.0,5205.0,2036.0
2.0,923.0,184.0,167.0,43.0,1802.0,2909.0,2768.0,2153.0,2012.0,794.0
3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,939.0
4.0,233.0,424.0,190.0,138.0,4633.0,5290.0,5004.0,5247.0,4961.0,1325.0
5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,382.0
6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2050.0
7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2569.0
8.0,595.0,635.0,113.0,125.0,3999.0,5229.0,4719.0,4747.0,4237.0,1204.0
9.0,223.0,415.0,31.0,370.0,4701.0,5339.0,5294.0,5147.0,5102.0,1260.0
10.0,187.0,253.0,59.0,146.0,2144.0,2584.0,2477.0,2456.0,2349.0,938.0
11.0,325.0,1032.0,108.0,279.0,3970.0,5327.0,4574.0,5110.0,4357.0,1343.0
12.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,2320.0
13.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1459.0
14.0,95.0,21.0,25.0,1.0,1632.0,1748.0,1728.0,1678.0,1658.0,698.0
15.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1758.0
16.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1890.0
17.0,354.0,136.0,140.0,68.0,5589.0,6079.0,6011.0,5865.0,5797.0,1782.0
18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,734.0
19.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,946.0
20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1327.0
21.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1913.0
22.0,690.0,509.0,224.0,98.0,4827.0,6026.0,5615.0,5560.0,5149.0,1142.0
23.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1363.0
